# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Tue Jan 10 22:25:20 EST 2017, 1173, 0.420, 3, 0.740, 555, 33, 6, 39, 93, 14.977, 14.637
Tue Jan 10 22:32:34 EST 2017, 6123, 0.920, 9, 0.240, 405, 78, 15, 14, 48, 33.600, 0.000
Tue Jan 10 22:34:25 EST 2017, 8598, 0.170, 6, 0.990, 330, 11, 11, 26, 71, 2.820, 2.817
Tue Jan 10 22:35:25 EST 2017, 3648, 0.670, 0, 0.490, 480, 56, 1, 1, 26, 0.683, 0.680
Tue Jan 10 22:37:42 EST 2017, 4885, 0.050, 11, 0.620, 368, 67, 8, 20, 82, 13.713, 14.837
Tue Jan 10 22:40:08 EST 2017, 9835, 0.550, 5, 0.120, 518, 22, 18, 45, 37, 33.873, 29.520
Tue Jan 10 22:41:54 EST 2017, 7360, 0.300, 2, 0.870, 593, 89, 13, 8, 60, 17.517, 17.960
Tue Jan 10 22:43:40 EST 2017, 2410, 0.800, 8, 0.370, 443, 44, 4, 33, 15, 2.647, 2.687
Tue Jan 10 22:45:46 EST 2017, 1791, 0.230, 1, 0.060, 387, 50, 7, 11, 88, 4.943, 5.103
Tue Jan 10 22:51:08 EST 2017, 6741, 0.730, 7, 0.560, 537, 95, 17, 36, 43, 78.333, 80.717
Tue Jan 10 22:54:08 EST 2017, 9216, 0.480, 10, 0.310, 462, 28, 12, 23, 65, 15.113, 17.560
Tue Jan 10 22:57:55 EST 2017, 4266, 0.980, 4, 0.810, 312, 73, 2, 48, 20, 0.080, 0.080
Tue Jan 10 23:05:41 EST 2017, 3029, 0.360, 8, 0.180, 499, 61, 9, 30, 99, 42.530, 0.000
Tue Jan 10 23:08:12 EST 2017, 7979, 0.860, 2, 0.680, 349, 16, 19, 5, 54, 4.503, 7.903
Tue Jan 10 23:11:03 EST 2017, 5504, 0.110, 5, 0.430, 424, 84, 14, 42, 77, 53.487, 59.763
Tue Jan 10 23:14:14 EST 2017, 554, 0.610, 11, 0.930, 574, 39, 5, 17, 32, 4.120, 4.083
Tue Jan 10 23:18:45 EST 2017, 709, 0.310, 0, 0.260, 344, 77, 10, 37, 72, 30.610, 33.193
Tue Jan 10 23:22:16 EST 2017, 5659, 0.810, 6, 0.760, 494, 32, 1, 12, 27, 0.097, 0.080
Tue Jan 10 23:24:22 EST 2017, 8134, 0.060, 9, 0.010, 569, 99, 6, 49, 95, 52.247, 60.723
Tue Jan 10 23:26:48 EST 2017, 3184, 0.560, 3, 0.510, 419, 54, 15, 24, 50, 25.527, 23.810
Tue Jan 10 23:31:15 EST 2017, 4421, 0.190, 7, 0.380, 532, 43, 13, 5, 61, 9.973, 153.570
Tue Jan 10 23:33:30 EST 2017, 9371, 0.690, 1, 0.880, 382, 88, 3, 30, 16, 1.423, 1.357
Tue Jan 10 23:35:36 EST 2017, 6896, 0.440, 4, 0.130, 307, 20, 8, 18, 84, 6.110, 6.703
Tue Jan 10 23:38:37 EST 2017, 1946, 0.940, 10, 0.630, 457, 65, 17, 43, 39, 54.543, 63.543
Tue Jan 10 23:41:48 EST 2017, 2565, 0.000, 4, 0.950, 513, 60, 12, 15, 55, 11.237, 12.033
Tue Jan 10 23:44:44 EST 2017, 7515, 0.500, 10, 0.450, 363, 15, 2, 40, 10, 0.257, 0.320
Tue Jan 10 23:48:55 EST 2017, 9990, 0.250, 7, 0.700, 438, 82, 7, 2, 78, 9.023, 9.113
Tue Jan 10 23:53:18 EST 2017, 5040, 0.750, 1, 0.200, 588, 37, 16, 27, 33, 25.523, 22.190
Tue Jan 10 23:57:30 EST 2017, 3802, 0.370, 11, 0.820, 401, 49, 14, 46, 67, 33.693, 34.750
Wed Jan 11 00:00:16 EST 2017, 8752, 0.870, 5, 0.320, 551, 94, 4, 21, 22, 7.643, 7.520
Wed Jan 11 00:02:07 EST 2017, 6277, 0.120, 2, 0.570, 476, 26, 9, 33, 89, 8.470, 8.717
Wed Jan 11 00:06:53 EST 2017, 1327, 0.620, 8, 0.070, 326, 71, 19, 8, 44, 17.513, 102.053
Wed Jan 11 00:09:04 EST 2017, 1018, 0.160, 9, 0.170, 429, 91, 1, 19, 53, 2.477, 2.507
Wed Jan 11 00:13:05 EST 2017, 5968, 0.660, 3, 0.670, 579, 46, 11, 44, 98, 56.700, 60.773
Wed Jan 11 00:15:56 EST 2017, 8443, 0.410, 0, 0.420, 504, 68, 16, 7, 30, 11.080, 44.583
Wed Jan 11 00:19:27 EST 2017, 3493, 0.910, 6, 0.920, 354, 23, 6, 32, 75, 7.480, 7.420
Wed Jan 11 00:22:18 EST 2017, 4730, 0.280, 5, 0.040, 466, 12, 4, 38, 41, 2.033, 2.023
Wed Jan 11 00:28:25 EST 2017, 9680, 0.780, 11, 0.540, 316, 57, 13, 13, 86, 23.910, 278.810
Wed Jan 11 00:29:40 EST 2017, 7205, 0.030, 8, 0.290, 391, 35, 18, 26, 19, 4.717, 4.910
Wed Jan 11 00:30:46 EST 2017, 2255, 0.530, 2, 0.790, 541, 80, 9, 1, 64, 9.383, 9.603
Wed Jan 11 00:32:47 EST 2017, 1637, 0.470, 6, 0.600, 597, 85, 3, 29, 36, 8.610, 8.540
Wed Jan 11 00:36:43 EST 2017, 6587, 0.970, 0, 0.100, 447, 40, 12, 4, 81, 0.107, 0.080
Wed Jan 11 00:38:54 EST 2017, 9062, 0.220, 3, 0.850, 372, 63, 17, 41, 13, 6.390, 6.220
Wed Jan 11 00:42:55 EST 2017, 4112, 0.720, 9, 0.350, 522, 18, 7, 16, 58, 6.147, 6.783
Wed Jan 11 00:46:56 EST 2017, 2874, 0.090, 1, 0.730, 335, 29, 5, 10, 47, 0.840, 0.810
Wed Jan 11 00:54:28 EST 2017, 7824, 0.590, 7, 0.230, 485, 74, 15, 35, 92, 109.087, 0.000
Wed Jan 11 00:57:19 EST 2017, 5349, 0.340, 10, 0.980, 560, 51, 19, 22, 25, 14.000, 13.740
Wed Jan 11 01:01:25 EST 2017, 399, 0.840, 4, 0.480, 410, 96, 10, 47, 70, 74.417, 79.097
Wed Jan 11 01:04:31 EST 2017, 322, 0.450, 10, 0.100, 492, 79, 13, 31, 18, 14.803, 14.570
Wed Jan 11 01:08:17 EST 2017, 5272, 0.950, 4, 0.600, 342, 34, 3, 6, 63, 0.090, 0.090
Wed Jan 11 01:10:28 EST 2017, 7747, 0.200, 1, 0.350, 417, 56, 8, 44, 41, 5.950, 5.863
Wed Jan 11 01:14:44 EST 2017, 2797, 0.700, 7, 0.850, 567, 11, 18, 19, 86, 12.497, 14.597
Wed Jan 11 01:18:35 EST 2017, 4034, 0.070, 3, 0.220, 379, 23, 11, 0, 29, 1.113, 1.030
Wed Jan 11 01:20:41 EST 2017, 8984, 0.570, 9, 0.720, 529, 68, 1, 25, 74, 4.880, 4.767
Wed Jan 11 01:22:42 EST 2017, 6509, 0.320, 6, 0.470, 454, 45, 6, 13, 52, 5.680, 5.510
