# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, fibHeap_timing_secs
Sun Jul  2 23:46:53 EDT 2017, 0.150, 138, 25, 6, 29, 552, 3, 33, 8, 22, 1.800, 1.247
Sun Jul  2 23:47:04 EDT 2017, 0.650, 158, 20, 2, 18, 402, 12, 13, 23, 42, 10.723, 2.030
Sun Jul  2 23:49:47 EDT 2017, 0.900, 128, 22, 8, 13, 477, 17, 43, 1, 32, 162.697, 7.013
Sun Jul  2 23:49:48 EDT 2017, 0.400, 148, 27, 4, 24, 327, 7, 23, 16, 12, 1.033, 0.690
Sun Jul  2 23:49:51 EDT 2017, 0.280, 123, 21, 7, 10, 364, 5, 18, 12, 37, 3.193, 1.360
Sun Jul  2 23:50:18 EDT 2017, 0.780, 143, 26, 3, 21, 514, 15, 38, 27, 17, 25.883, 3.103
Sun Jul  2 23:51:00 EDT 2017, 0.530, 133, 28, 9, 27, 439, 19, 28, 5, 27, 42.477, 3.377
Sun Jul  2 23:53:45 EDT 2017, 0.030, 153, 23, 5, 16, 589, 10, 48, 20, 47, 164.573, 9.760
Sun Jul  2 23:54:25 EDT 2017, 0.020, 138, 29, 2, 22, 531, 13, 35, 2, 26, 39.687, 3.993
Sun Jul  2 23:54:26 EDT 2017, 0.520, 158, 24, 6, 11, 381, 3, 15, 17, 46, 1.200, 0.973
