# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap2tQ_timing_secs
Wed May 17 15:14:31 EDT 2017, 0.270, 5, 7, 0.560, 1, 8, 34, 537, 25, 8, 22, 41, 5.997, 7.043
Wed May 17 15:18:04 EDT 2017, 0.400, 2, 4, 0.430, 7, 9, 23, 499, 81, 19, 41, 75, 166.733, 209.370
Wed May 17 15:18:10 EDT 2017, 0.900, 6, 8, 0.930, 2, 5, 68, 349, 36, 10, 16, 30, 4.223, 4.917
Wed May 17 15:18:28 EDT 2017, 0.650, 4, 6, 0.180, 4, 7, 90, 574, 59, 5, 28, 52, 14.077, 17.887
Wed May 17 15:19:02 EDT 2017, 0.150, 9, 1, 0.680, 9, 2, 45, 424, 14, 15, 3, 97, 33.123, 20.377
Wed May 17 15:19:25 EDT 2017, 0.210, 1, 7, 0.990, 8, 2, 17, 593, 87, 2, 0, 81, 13.967, 22.097
Wed May 17 15:19:46 EDT 2017, 0.710, 6, 2, 0.490, 4, 6, 62, 443, 42, 11, 25, 36, 21.540, 15.403
Wed May 17 15:19:58 EDT 2017, 0.960, 4, 4, 0.740, 2, 4, 85, 518, 64, 16, 13, 13, 11.687, 8.953
Wed May 17 15:20:02 EDT 2017, 0.460, 8, 9, 0.240, 6, 9, 40, 368, 19, 6, 38, 58, 2.723, 3.690
Wed May 17 15:27:30 EDT 2017, 0.330, 5, 1, 0.870, 3, 7, 29, 406, 98, 18, 19, 47, 264.463, 424.633
Wed May 17 15:28:13 EDT 2017, 0.830, 9, 5, 0.370, 7, 3, 74, 556, 53, 9, 44, 92, 41.160, 42.173
Wed May 17 15:28:27 EDT 2017, 0.580, 2, 8, 0.620, 9, 5, 96, 331, 76, 4, 7, 69, 9.643, 13.870
Wed May 17 15:28:37 EDT 2017, 0.080, 7, 3, 0.120, 5, 1, 51, 481, 31, 14, 32, 24, 9.980, 7.770
Wed May 17 15:29:02 EDT 2017, 0.110, 3, 2, 0.150, 1, 3, 60, 546, 22, 9, 42, 78, 24.770, 18.627
Wed May 17 15:29:25 EDT 2017, 0.610, 7, 6, 0.650, 5, 8, 15, 396, 67, 19, 17, 33, 22.210, 18.217
Wed May 17 15:29:28 EDT 2017, 0.860, 5, 9, 0.400, 8, 1, 37, 471, 45, 14, 30, 10, 2.927, 3.103
Wed May 17 15:29:49 EDT 2017, 0.360, 9, 4, 0.900, 3, 6, 82, 321, 90, 5, 5, 55, 17.347, 20.367
Wed May 17 15:29:53 EDT 2017, 0.490, 4, 5, 0.020, 9, 7, 71, 434, 11, 12, 36, 44, 3.850, 3.643
Wed May 17 15:30:28 EDT 2017, 0.990, 8, 1, 0.520, 4, 2, 26, 584, 56, 2, 11, 89, 29.803, 34.737
Wed May 17 15:30:41 EDT 2017, 0.740, 2, 3, 0.270, 2, 9, 48, 359, 33, 7, 49, 66, 12.540, 12.343
Wed May 17 15:30:58 EDT 2017, 0.240, 6, 7, 0.770, 6, 4, 93, 509, 78, 17, 24, 21, 16.443, 14.857
Wed May 17 15:31:00 EDT 2017, 0.180, 4, 5, 0.590, 6, 5, 65, 340, 17, 8, 21, 16, 1.403, 1.473
Wed May 17 15:31:34 EDT 2017, 0.680, 9, 9, 0.090, 1, 9, 20, 490, 62, 18, 46, 61, 33.783, 32.750
Wed May 17 15:31:56 EDT 2017, 0.930, 2, 7, 0.840, 4, 3, 43, 415, 39, 13, 8, 83, 20.907, 21.303
Wed May 17 15:32:20 EDT 2017, 0.430, 7, 2, 0.340, 8, 7, 88, 565, 84, 3, 33, 38, 19.690, 22.380
Wed May 17 15:32:33 EDT 2017, 0.300, 1, 8, 0.710, 5, 6, 76, 453, 28, 11, 2, 72, 11.127, 12.527
