# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, fibHeap_timing_secs
Mon Jan  9 15:41:11 EST 2017, 965, 0.960, 1, 0.220, 481, 51, 15, 48, 66, 55.380, 54.527
Mon Jan  9 15:41:40 EST 2017, 1274, 0.490, 5, 0.000, 565, 32, 5, 37, 75, 29.243, 29.137
Mon Jan  9 15:42:11 EST 2017, 6224, 0.990, 9, 0.500, 415, 77, 14, 12, 30, 29.790, 26.427
Mon Jan  9 15:45:31 EST 2017, 8699, 0.240, 7, 0.250, 340, 54, 19, 49, 97, 196.847, 178.267
Mon Jan  9 15:46:29 EST 2017, 3749, 0.740, 2, 0.750, 490, 99, 10, 24, 52, 55.913, 53.100
Mon Jan  9 15:46:38 EST 2017, 4987, 0.110, 8, 0.130, 303, 88, 2, 5, 64, 7.420, 8.777
Mon Jan  9 15:46:53 EST 2017, 9937, 0.610, 4, 0.630, 453, 43, 12, 30, 19, 14.817, 13.847
Mon Jan  9 15:47:57 EST 2017, 7462, 0.360, 1, 0.380, 528, 65, 17, 18, 86, 62.003, 58.967
Mon Jan  9 15:48:07 EST 2017, 2512, 0.860, 6, 0.880, 378, 20, 7, 43, 41, 10.507, 10.117
Mon Jan  9 15:48:10 EST 2017, 1893, 0.180, 2, 0.690, 434, 15, 4, 15, 58, 2.530, 2.500
Mon Jan  9 15:48:37 EST 2017, 6843, 0.680, 6, 0.190, 584, 60, 13, 40, 13, 26.827, 25.753
Mon Jan  9 15:49:15 EST 2017, 9318, 0.430, 9, 0.940, 509, 37, 18, 2, 80, 36.967, 23.523
Mon Jan  9 15:49:42 EST 2017, 4368, 0.930, 4, 0.440, 359, 82, 8, 27, 35, 26.203, 25.957
Mon Jan  9 15:50:02 EST 2017, 3130, 0.300, 5, 0.560, 471, 93, 1, 46, 69, 17.523, 19.503
Mon Jan  9 15:50:07 EST 2017, 8080, 0.800, 1, 0.060, 321, 48, 11, 21, 24, 5.447, 5.330
Mon Jan  9 15:52:28 EST 2017, 5605, 0.050, 3, 0.810, 396, 71, 15, 34, 92, 137.770, 123.027
Mon Jan  9 15:52:35 EST 2017, 655, 0.550, 8, 0.310, 546, 26, 6, 9, 47, 7.457, 7.000
Mon Jan  9 15:55:24 EST 2017, 501, 0.250, 3, 0.990, 335, 78, 19, 39, 90, 168.097, 155.303
Mon Jan  9 15:55:39 EST 2017, 5451, 0.750, 7, 0.490, 485, 33, 9, 14, 45, 14.943, 14.037
Mon Jan  9 15:56:12 EST 2017, 7926, 0.000, 9, 0.740, 560, 56, 4, 27, 68, 32.253, 31.920
Mon Jan  9 15:56:13 EST 2017, 2976, 0.500, 5, 0.240, 410, 11, 14, 2, 23, 1.543, 1.237
Mon Jan  9 15:57:00 EST 2017, 4213, 0.130, 6, 0.860, 598, 22, 16, 20, 79, 46.180, 41.273
Mon Jan  9 15:57:25 EST 2017, 9163, 0.630, 2, 0.360, 448, 67, 7, 45, 34, 25.273, 24.763
Mon Jan  9 15:57:30 EST 2017, 6688, 0.380, 4, 0.610, 373, 44, 2, 8, 57, 3.870, 4.030
Mon Jan  9 15:57:57 EST 2017, 1738, 0.880, 8, 0.110, 523, 89, 12, 33, 12, 27.120, 25.867
Mon Jan  9 16:00:35 EST 2017, 2357, 0.070, 4, 0.300, 467, 95, 18, 11, 85, 155.693, 118.413
Mon Jan  9 16:00:58 EST 2017, 7307, 0.570, 9, 0.800, 317, 50, 8, 36, 40, 22.470, 21.537
Mon Jan  9 16:01:17 EST 2017, 9782, 0.320, 7, 0.050, 392, 72, 3, 23, 62, 18.297, 19.123
Mon Jan  9 16:01:28 EST 2017, 4832, 0.820, 2, 0.550, 542, 27, 13, 48, 17, 11.363, 10.970
