# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 11:15:59 EDT 2017, 0.220, 127, 28, 8, 29, 368, 10, 30, 0, 46, 38.653, 30.440
Sun Jul  2 11:15:59 EDT 2017, 0.720, 147, 23, 4, 18, 518, 1, 10, 15, 26, 0.170, 0.173
Sun Jul  2 11:16:04 EDT 2017, 0.970, 137, 21, 6, 12, 443, 6, 40, 8, 16, 4.440, 4.220
Sun Jul  2 11:16:40 EDT 2017, 0.470, 157, 26, 2, 23, 593, 15, 20, 23, 36, 35.810, 28.983
Sun Jul  2 11:16:42 EDT 2017, 0.350, 132, 22, 9, 9, 555, 13, 15, 4, 11, 1.810, 1.893
Sun Jul  2 11:16:45 EDT 2017, 0.850, 152, 27, 5, 20, 405, 3, 35, 19, 31, 2.523, 2.373
Sun Jul  2 11:17:05 EDT 2017, 0.600, 122, 25, 7, 26, 480, 8, 25, 12, 41, 19.823, 16.757
Sun Jul  2 11:18:11 EDT 2017, 0.100, 142, 20, 3, 15, 330, 18, 45, 27, 21, 66.457, 50.340
Sun Jul  2 11:18:15 EDT 2017, 0.070, 124, 24, 2, 12, 396, 3, 36, 29, 32, 4.017, 3.857
Sun Jul  2 11:18:17 EDT 2017, 0.570, 144, 29, 6, 23, 546, 12, 16, 14, 12, 1.410, 1.630
Sun Jul  2 11:19:15 EDT 2017, 0.820, 134, 26, 4, 28, 321, 17, 46, 22, 22, 57.283, 43.713
Sun Jul  2 11:19:29 EDT 2017, 0.320, 154, 21, 8, 17, 471, 7, 26, 7, 42, 14.577, 12.333
Sun Jul  2 11:19:31 EDT 2017, 0.440, 139, 27, 3, 25, 508, 5, 11, 26, 27, 1.050, 1.117
Sun Jul  2 11:21:00 EDT 2017, 0.940, 159, 22, 7, 14, 358, 15, 31, 11, 47, 89.677, 66.863
Sun Jul  2 11:22:32 EDT 2017, 0.690, 129, 20, 5, 9, 583, 19, 21, 18, 37, 91.160, 70.113
Sun Jul  2 11:22:42 EDT 2017, 0.190, 149, 25, 9, 20, 433, 10, 41, 3, 17, 10.177, 8.977
Sun Jul  2 11:22:43 EDT 2017, 0.130, 131, 22, 7, 24, 415, 2, 24, 24, 30, 0.813, 0.837
Sun Jul  2 11:22:50 EDT 2017, 0.630, 151, 27, 3, 13, 565, 11, 44, 9, 10, 6.940, 6.523
Sun Jul  2 11:22:54 EDT 2017, 0.880, 121, 29, 9, 18, 340, 16, 14, 16, 20, 3.510, 3.277
Sun Jul  2 11:23:14 EDT 2017, 0.380, 141, 24, 5, 29, 490, 6, 34, 1, 40, 19.477, 16.117
Sun Jul  2 11:23:20 EDT 2017, 0.260, 126, 26, 6, 16, 452, 4, 49, 28, 25, 6.710, 6.273
Sun Jul  2 11:24:22 EDT 2017, 0.760, 146, 21, 2, 27, 302, 13, 29, 13, 45, 60.853, 46.117
Sun Jul  2 11:27:27 EDT 2017, 0.510, 136, 23, 8, 21, 527, 18, 39, 20, 35, 184.717, 139.650
Sun Jul  2 11:27:29 EDT 2017, 0.010, 156, 28, 4, 10, 377, 9, 19, 5, 15, 1.517, 1.517
Sun Jul  2 11:27:31 EDT 2017, 0.010, 123, 25, 8, 20, 331, 15, 12, 4, 18, 2.167, 2.147
Sun Jul  2 11:27:44 EDT 2017, 0.510, 143, 20, 4, 9, 481, 5, 32, 19, 38, 12.503, 10.370
Sun Jul  2 11:27:45 EDT 2017, 0.760, 133, 23, 6, 15, 406, 1, 22, 12, 48, 0.637, 0.640
Sun Jul  2 11:28:24 EDT 2017, 0.260, 153, 28, 2, 26, 556, 10, 42, 27, 28, 39.337, 31.680
Sun Jul  2 11:32:41 EDT 2017, 0.380, 138, 22, 9, 17, 594, 17, 37, 0, 43, 256.440, 185.257
Sun Jul  2 11:32:44 EDT 2017, 0.880, 158, 27, 5, 28, 444, 8, 17, 15, 23, 2.420, 2.407
Sun Jul  2 11:32:45 EDT 2017, 0.630, 128, 29, 7, 23, 519, 3, 47, 8, 13, 1.100, 1.213
Sun Jul  2 11:33:10 EDT 2017, 0.130, 148, 24, 3, 12, 369, 12, 27, 23, 33, 24.397, 19.260
Sun Jul  2 11:33:36 EDT 2017, 0.200, 130, 27, 5, 8, 350, 16, 45, 2, 16, 26.187, 20.940
Sun Jul  2 11:33:44 EDT 2017, 0.700, 150, 22, 9, 19, 500, 6, 25, 17, 36, 7.613, 6.810
Sun Jul  2 11:33:48 EDT 2017, 0.950, 120, 20, 3, 24, 425, 2, 35, 10, 46, 4.200, 3.973
Sun Jul  2 11:33:54 EDT 2017, 0.450, 140, 25, 7, 13, 575, 11, 15, 25, 26, 5.593, 5.403
Sun Jul  2 11:35:15 EDT 2017, 0.320, 125, 23, 4, 27, 538, 18, 20, 6, 41, 80.867, 62.870
Sun Jul  2 11:35:25 EDT 2017, 0.820, 145, 28, 8, 16, 388, 9, 40, 21, 21, 10.410, 8.983
Sun Jul  2 11:35:26 EDT 2017, 0.570, 135, 26, 2, 10, 463, 4, 10, 13, 11, 0.177, 0.190
Sun Jul  2 11:35:56 EDT 2017, 0.070, 155, 21, 6, 21, 313, 14, 30, 28, 31, 30.127, 23.100
Sun Jul  2 11:36:03 EDT 2017, 0.100, 137, 23, 7, 26, 378, 6, 41, 27, 22, 6.770, 6.100
Sun Jul  2 11:36:48 EDT 2017, 0.600, 157, 28, 3, 15, 528, 15, 21, 12, 42, 44.790, 35.210
Sun Jul  2 11:37:08 EDT 2017, 0.850, 127, 25, 9, 10, 303, 11, 31, 20, 32, 20.317, 16.543
Sun Jul  2 11:37:08 EDT 2017, 0.350, 147, 20, 5, 21, 453, 1, 11, 5, 12, 0.100, 0.100
Sun Jul  2 11:37:25 EDT 2017, 0.480, 122, 29, 6, 13, 491, 8, 26, 24, 37, 17.030, 14.230
Sun Jul  2 11:38:07 EDT 2017, 0.980, 142, 24, 2, 24, 341, 18, 46, 9, 17, 41.657, 31.740
Sun Jul  2 11:38:18 EDT 2017, 0.730, 132, 21, 8, 29, 566, 13, 16, 16, 27, 10.923, 9.727
