# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Wed May 17 15:29:09 EDT 2017, 0.350, 9, 3, 0.340, 5, 9, 77, 418, 72, 14, 11, 68, 64.567, 65.990
Wed May 17 15:29:11 EDT 2017, 0.480, 3, 7, 0.720, 8, 8, 88, 305, 39, 3, 29, 34, 1.967, 1.973
Wed May 17 15:31:29 EDT 2017, 0.980, 8, 2, 0.220, 4, 3, 43, 455, 84, 12, 4, 79, 137.383, 135.390
Wed May 17 15:31:39 EDT 2017, 0.730, 1, 4, 0.970, 2, 6, 20, 380, 16, 17, 42, 57, 9.990, 9.797
Wed May 17 15:31:42 EDT 2017, 0.230, 5, 9, 0.470, 6, 1, 65, 530, 61, 7, 17, 12, 2.910, 2.917
Wed May 17 15:31:56 EDT 2017, 0.160, 5, 3, 0.160, 7, 1, 94, 399, 33, 18, 14, 29, 13.830, 13.587
Wed May 17 15:32:33 EDT 2017, 0.660, 9, 7, 0.660, 2, 5, 49, 549, 78, 8, 39, 74, 35.280, 35.070
Wed May 17 15:32:36 EDT 2017, 0.910, 3, 5, 0.410, 4, 3, 26, 324, 11, 4, 1, 96, 2.467, 2.467
Wed May 17 15:33:46 EDT 2017, 0.410, 7, 1, 0.910, 9, 7, 71, 474, 56, 13, 26, 51, 70.017, 69.437
Wed May 17 15:33:49 EDT 2017, 0.290, 2, 8, 0.030, 3, 8, 82, 587, 44, 1, 8, 63, 2.943, 2.870
Wed May 17 15:34:04 EDT 2017, 0.790, 6, 4, 0.530, 8, 4, 37, 437, 89, 11, 33, 18, 14.320, 13.827
Wed May 17 15:34:24 EDT 2017, 0.540, 4, 2, 0.280, 6, 6, 15, 512, 22, 16, 20, 40, 19.933, 19.693
Wed May 17 15:34:45 EDT 2017, 0.040, 8, 6, 0.780, 1, 2, 60, 362, 67, 6, 45, 85, 19.883, 19.750
Wed May 17 15:34:51 EDT 2017, 0.050, 1, 3, 0.390, 7, 8, 27, 544, 26, 12, 32, 19, 6.480, 6.273
Wed May 17 15:35:00 EDT 2017, 0.550, 6, 8, 0.890, 3, 3, 72, 394, 71, 3, 7, 64, 8.607, 8.107
Wed May 17 15:35:25 EDT 2017, 0.800, 3, 6, 0.140, 1, 6, 95, 469, 49, 8, 44, 86, 24.010, 24.103
Wed May 17 15:37:03 EDT 2017, 0.300, 8, 1, 0.640, 5, 1, 50, 319, 94, 17, 19, 41, 95.727, 91.347
Wed May 17 15:37:08 EDT 2017, 0.430, 4, 9, 0.260, 2, 2, 16, 432, 15, 10, 38, 75, 5.020, 5.127
Wed May 17 15:37:39 EDT 2017, 0.930, 9, 5, 0.760, 6, 7, 61, 582, 60, 19, 13, 30, 30.007, 29.953
Wed May 17 15:38:09 EDT 2017, 0.680, 2, 2, 0.010, 8, 4, 84, 357, 37, 15, 25, 53, 30.287, 29.753
Wed May 17 15:38:41 EDT 2017, 0.180, 7, 7, 0.510, 4, 9, 39, 507, 82, 5, 0, 98, 30.460, 30.727
Wed May 17 15:39:05 EDT 2017, 0.240, 3, 1, 0.830, 3, 9, 22, 338, 20, 11, 4, 81, 23.857, 23.607
Wed May 17 15:39:10 EDT 2017, 0.740, 7, 5, 0.330, 8, 5, 67, 488, 65, 2, 29, 36, 5.067, 4.890
Wed May 17 15:39:12 EDT 2017, 0.990, 1, 7, 0.580, 6, 7, 89, 413, 43, 6, 16, 13, 1.930, 1.873
Wed May 17 15:41:15 EDT 2017, 0.490, 5, 3, 0.080, 1, 3, 44, 563, 88, 16, 41, 58, 115.547, 120.683
Wed May 17 15:41:24 EDT 2017, 0.370, 2, 6, 0.950, 7, 2, 11, 451, 32, 9, 22, 47, 9.320, 9.047
Wed May 17 15:44:02 EDT 2017, 0.870, 6, 2, 0.450, 2, 6, 56, 301, 77, 18, 47, 92, 154.907, 154.473
Wed May 17 15:44:53 EDT 2017, 0.620, 4, 4, 0.700, 5, 4, 78, 526, 54, 13, 10, 70, 49.163, 50.673
Wed May 17 15:44:58 EDT 2017, 0.120, 8, 9, 0.200, 9, 8, 33, 376, 99, 4, 35, 25, 4.697, 4.823
