# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 11:26:48 EDT 2017, 0.240, 130, 20, 8, 15, 598, 3, 15, 3, 32, 1.177, 0.640
Mon Jul  3 11:26:55 EDT 2017, 0.740, 150, 25, 4, 26, 448, 13, 35, 18, 12, 6.960, 1.243
Mon Jul  3 11:27:22 EDT 2017, 0.990, 120, 27, 6, 20, 523, 17, 25, 11, 22, 26.480, 2.243
Mon Jul  3 11:28:19 EDT 2017, 0.490, 140, 22, 2, 9, 373, 8, 45, 26, 42, 57.157, 3.183
Mon Jul  3 11:28:20 EDT 2017, 0.370, 125, 26, 9, 23, 336, 1, 30, 7, 27, 0.310, 0.363
Mon Jul  3 11:28:26 EDT 2017, 0.870, 145, 21, 5, 12, 486, 10, 10, 22, 47, 6.763, 1.390
Mon Jul  3 11:30:24 EDT 2017, 0.620, 135, 23, 7, 17, 411, 15, 40, 14, 37, 117.397, 4.150
Mon Jul  3 11:30:26 EDT 2017, 0.120, 155, 28, 3, 28, 561, 5, 20, 29, 17, 1.147, 0.740
Mon Jul  3 11:30:41 EDT 2017, 0.080, 136, 25, 2, 19, 476, 14, 11, 27, 48, 15.357, 1.853
Mon Jul  3 11:30:45 EDT 2017, 0.580, 156, 20, 6, 8, 326, 5, 31, 12, 28, 3.717, 0.977
Mon Jul  3 11:30:51 EDT 2017, 0.830, 126, 23, 4, 14, 551, 10, 21, 19, 18, 5.377, 1.257
Mon Jul  3 11:33:37 EDT 2017, 0.330, 146, 28, 8, 25, 401, 19, 41, 4, 38, 166.077, 4.690
Mon Jul  3 11:33:48 EDT 2017, 0.460, 121, 21, 3, 17, 439, 12, 36, 23, 13, 10.607, 1.447
Mon Jul  3 11:33:50 EDT 2017, 0.960, 141, 26, 7, 28, 589, 3, 16, 8, 33, 1.347, 0.813
Mon Jul  3 11:34:28 EDT 2017, 0.710, 131, 29, 5, 22, 364, 7, 46, 15, 43, 38.293, 2.497
Mon Jul  3 11:34:52 EDT 2017, 0.210, 151, 24, 9, 11, 514, 17, 26, 0, 23, 24.183, 2.290
Mon Jul  3 11:38:42 EDT 2017, 0.150, 128, 28, 7, 10, 495, 13, 48, 25, 46, 228.520, 6.123
Mon Jul  3 11:38:44 EDT 2017, 0.650, 148, 23, 3, 21, 345, 4, 28, 10, 26, 2.243, 0.990
Mon Jul  3 11:38:52 EDT 2017, 0.900, 138, 21, 9, 26, 570, 8, 38, 17, 16, 7.510, 1.390
Mon Jul  3 11:39:18 EDT 2017, 0.400, 158, 26, 5, 15, 420, 18, 18, 2, 36, 26.103, 2.233
Mon Jul  3 11:39:20 EDT 2017, 0.270, 133, 24, 6, 29, 383, 11, 23, 28, 11, 1.830, 0.667
Mon Jul  3 11:39:22 EDT 2017, 0.770, 153, 29, 2, 18, 533, 1, 43, 13, 31, 1.100, 0.860
Mon Jul  3 11:39:24 EDT 2017, 0.520, 123, 27, 8, 13, 308, 6, 13, 21, 41, 2.027, 0.607
Mon Jul  3 11:39:57 EDT 2017, 0.020, 143, 22, 4, 24, 458, 16, 33, 6, 21, 32.933, 2.370
Mon Jul  3 11:40:01 EDT 2017, 0.010, 127, 27, 3, 13, 512, 2, 42, 15, 42, 4.447, 2.517
Mon Jul  3 11:40:07 EDT 2017, 0.510, 147, 22, 7, 24, 362, 11, 22, 0, 22, 5.817, 1.213
Mon Jul  3 11:40:20 EDT 2017, 0.760, 137, 24, 5, 19, 587, 16, 32, 23, 12, 12.240, 1.683
Mon Jul  3 11:40:22 EDT 2017, 0.260, 157, 29, 9, 8, 437, 7, 12, 8, 32, 1.573, 0.687
Mon Jul  3 11:40:23 EDT 2017, 0.390, 132, 21, 2, 21, 399, 4, 27, 19, 17, 1.330, 0.697
Mon Jul  3 11:43:07 EDT 2017, 0.890, 152, 26, 6, 10, 549, 14, 47, 4, 37, 163.277, 5.677
Mon Jul  3 11:43:47 EDT 2017, 0.640, 122, 28, 4, 16, 324, 18, 17, 26, 47, 39.897, 2.067
Mon Jul  3 11:44:08 EDT 2017, 0.140, 142, 23, 8, 27, 474, 9, 37, 11, 27, 20.297, 1.963
Mon Jul  3 11:44:08 EDT 2017, 0.200, 135, 29, 6, 25, 455, 1, 19, 21, 44, 0.587, 0.570
Mon Jul  3 11:44:23 EDT 2017, 0.700, 155, 24, 2, 14, 305, 10, 39, 6, 24, 14.893, 1.607
Mon Jul  3 11:44:36 EDT 2017, 0.950, 125, 21, 8, 9, 530, 15, 29, 28, 14, 12.213, 1.817
Mon Jul  3 11:44:50 EDT 2017, 0.450, 145, 26, 4, 20, 380, 5, 49, 13, 34, 14.217, 1.773
Mon Jul  3 11:44:52 EDT 2017, 0.330, 120, 22, 7, 12, 418, 3, 34, 17, 19, 1.293, 0.623
Mon Jul  3 11:45:05 EDT 2017, 0.830, 140, 27, 3, 23, 568, 12, 14, 2, 39, 12.807, 1.780
Mon Jul  3 11:49:32 EDT 2017, 0.580, 130, 25, 9, 28, 343, 17, 44, 24, 49, 266.293, 5.273
