# runtime_mean for different queues & configs manually aggregated,,,,,,,,,,,,,,,,,,,,,
# phold,param,param,param,heap,heap,heap,2tHeap,2tHeap,2tHeap,fibHeap,fibHeap,fibHeap,3tHeap,3tHeap,3tHeap,2tLadderQ,2tLadderQ,2tLadderQ,ladderQ,ladderQ,ladderQ
#config,--delay, --selfEvents%, --eventsPerAgent, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci, runtime_mean, runtime_ci, runtime_ci
ph4,2,0.25,10,49.528,47.6838,51.3722,33.305,32.1009,34.5091,39.445,37.6932,41.1968,33.474,32.4386,34.5094,44.685,43.7255,45.6445,44.32,41.9496,46.6904
ph4,5,0.25,10,68.776,66.0869,71.4651,43.016,42.344,43.688,47.723,45.4097,50.0363,40.494,39.9586,41.0294,61.137,58.8801,63.3939,61.876,58.0658,65.6862
ph4,10,0.25,10,72.378,71.2024,73.5536,43.599,42.1815,45.0165,51.183,50.4167,51.9493,41.037,39.7411,42.3329,57.866,54.7867,60.9453,58.582,54.0898,63.0742
ph4,1,0,15,51.424,50.0403,52.8077,34.854,33.5354,36.1726,41.573,40.291,42.855,34.809,34.1911,35.4269,40.639,37.726,43.552,43.126,40.8432,45.4088
ph4,2,0,15,76.065,73.2732,78.8568,46.131,44.4027,47.8593,52.446,51.0499,53.8421,43.636,43.0857,44.1863,64.346,60.3056,68.3864,69.591,67.2038,71.9782
ph4,5,0,15,105.107,99.8893,110.325,56.636,54.533,58.739,64.063,62.4205,65.7055,52.395,51.6815,53.1085,93.696,89.2467,98.1453,102.327,101.291,103.363
ph4,10,0,15,112.912,108.689,117.135,61.095,59.3111,62.8789,64.637,62.7988,66.4752,53.576,51.8344,55.3176,89.778,86.8623,92.6937,93.194,88.3329,98.0551
ph4,1,0.25,15,49.154,46.9971,51.3109,34.623,32.926,36.32,40.971,40.1835,41.7585,33.697,32.1797,35.2143,42.1,40.1455,44.0545,44.392,43.6335,45.1505
ph4,2,0.25,15,74.706,71.3082,78.1038,45.792,45.1243,46.4597,52.595,52.0297,53.1603,43.272,42.5043,44.0397,64.559,59.5895,69.5285,68.491,66.0521,70.9299
ph4,5,0.25,15,104.136,98.41,109.862,57.296,55.6242,58.9678,63.084,60.2909,65.8771,52.56,50.9543,54.1657,90.843,88.3456,93.3404,95.014,91.5082,98.5198
ph4,10,0.25,15,109.926,104.658,115.194,61.299,59.5634,63.0346,66.307,64.7484,67.8656,53.328,51.0854,55.5706,89.249,83.5485,94.9495,95.008,90.8908,99.1252
ph4,1,0,20,69.67,68.4572,70.8828,43.963,42.9134,45.0126,49.779,47.7663,51.7917,39.968,38.3751,41.5609,57.259,55.829,58.689,59.82,57.6948,61.9452
ph4,2,0,20,107.559,102.527,112.591,58.93,57.1265,60.7335,65.033,62.7927,67.2733,51.867,51.1361,52.5979,90.401,87.7245,93.0775,88.336,80.8079,95.8641
ph4,5,0,20,146.717,137.006,156.428,77.008,75.0968,78.9192,80.921,77.5754,84.2666,63.025,61.279,64.771,125.313,117.982,132.644,130.852,125.745,135.959
ph4,10,0,20,156.398,148.405,164.391,79.319,77.2399,81.3981,85.693,84.1451,87.2409,66.399,64.6399,68.1581,125.833,122.591,129.075,128.008,122.755,133.261
ph4,1,0.25,20,67.367,65.144,69.59,42.851,41.585,44.117,48.977,47.5457,50.4083,40.38,38.6266,42.1334,57.668,56.6111,58.7249,57.434,53.9137,60.9543
ph4,2,0.25,20,107.997,103.288,112.706,56.887,55.647,58.127,64.647,63.7269,65.5671,51.589,50.1888,52.9892,91.532,86.562,96.502,93.395,88.7074,98.0826
ph4,5,0.25,20,148.137,137.777,158.497,72.102,69.8338,74.3702,78.702,76.2183,81.1857,63.297,61.4498,65.1442,122.271,115.372,129.17,131.632,123.804,139.46
ph4,10,0.25,20,161.11,152.9,169.32,76.767,73.848,79.686,84.202,82.2115,86.1925,64.913,63.0071,66.8189,117.615,110.428,124.802,120.403,115.434,125.372
ph5,1,0,1,11.659,11.4285,11.8895,14.079,13.8897,14.2683,20.577,20.1954,20.9586,14.608,14.4194,14.7966,11.748,11.1987,12.2973,12.245,12.1902,12.2998
ph5,2,0,1,16.234,16.0049,16.4631,19.077,18.5853,19.5687,30.016,29.3106,30.7214,20.133,20.017,20.249,16.619,16.3406,16.8974,16.982,16.6961,17.2679
ph5,5,0,1,20.815,20.3657,21.2643,24.995,24.2417,25.7483,39.674,39.3665,39.9815,26.429,26.0665,26.7915,22.744,22.3803,23.1077,23.625,23.47,23.78
ph5,10,0,1,22.257,22.036,22.478,26.613,25.8552,27.3708,44.149,43.183,45.115,32.634,31.975,33.293,24.148,23.7356,24.5604,24.623,24.2849,24.9611
ph5,1,0.25,1,11.508,11.167,11.849,13.714,13.5028,13.9252,19.682,19.3847,19.9793,14.346,14.1608,14.5312,11.592,11.374,11.81,11.608,11.2728,11.9432
ph5,2,0.25,1,15.744,15.3749,16.1131,18.343,17.8908,18.7952,28.763,28.3033,29.2227,19.307,19.0449,19.5691,16.257,15.9937,16.5203,16.656,16.4538,16.8582
ph5,5,0.25,1,20.989,20.7024,21.2756,23.64,23.1042,24.1758,37.804,37.2885,38.3195,25.376,25.0611,25.6909,21.458,21.0808,21.8352,22.135,21.7444,22.5256
ph5,10,0.25,1,21.779,21.2754,22.2826,24.752,23.9489,25.5551,40.205,39.0802,41.3298,26.495,25.7442,27.2458,22.581,22.2371,22.9249,22.544,21.9189,23.1691
ph5,1,0,2,20.026,19.8342,20.2178,21.492,20.9545,22.0295,34.486,34.0798,34.8922,22.543,22.0083,23.0777,20.094,19.7992,20.3888,20.359,20.0188,20.6992
ph5,2,0,2,27.598,27.3545,27.8415,29.511,29.1687,29.8533,46.797,45.9902,47.6038,30.894,30.2879,31.5001,28.305,27.8452,28.7648,28.65,28.2102,29.0898
ph5,5,0,2,34.069,33.3536,34.7844,35.897,35.0408,36.7532,56.662,54.5756,58.7484,39.363,38.4353,40.2907,33.974,32.5939,35.3541,34.355,33.002,35.708
ph5,10,0,2,34.519,33.7077,35.3303,37.451,36.5479,38.3541,61.446,58.969,63.923,41.117,40.0219,42.2121,32.548,31.7986,33.2974,32.939,32.617,33.261
ph5,1,0.25,2,19.718,19.2281,20.2079,20.588,19.9221,21.2539,32.489,31.3611,33.6169,22.241,21.9537,22.5283,20.08,19.7062,20.4538,20.299,19.9917,20.6063
ph5,2,0.25,2,27.098,26.5857,27.6103,29.274,28.9006,29.6474,47.131,46.3511,47.9109,32.214,31.7588,32.6692,28.16,27.792,28.528,28.384,27.9433,28.8247
