# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 10:38:01 EDT 2017, 6224, 0.990, 9711, 5, 0.380, 523, 75, 5, 11, 43, 19.487, 26.777
Sun Apr 30 10:39:33 EDT 2017, 8699, 0.240, 7212, 3, 0.130, 448, 97, 19, 48, 20, 78.223, 91.597
Sun Apr 30 10:40:59 EDT 2017, 3749, 0.740, 2212, 7, 0.630, 598, 52, 10, 23, 65, 71.627, 84.663
Sun Apr 30 10:41:02 EDT 2017, 4987, 0.110, 8462, 2, 0.010, 561, 19, 3, 30, 31, 2.790, 3.250
Sun Apr 30 10:42:14 EDT 2017, 9937, 0.610, 3462, 6, 0.510, 411, 64, 12, 5, 76, 51.280, 69.777
Sun Apr 30 10:45:16 EDT 2017, 7462, 0.360, 962, 4, 0.760, 486, 86, 8, 42, 99, 158.253, 178.507
Sun Apr 30 10:46:06 EDT 2017, 2512, 0.860, 5962, 8, 0.260, 336, 41, 17, 17, 54, 37.913, 50.230
Sun Apr 30 10:46:23 EDT 2017, 1893, 0.180, 1587, 7, 0.440, 317, 24, 6, 26, 82, 13.720, 16.680
Sun Apr 30 10:46:48 EDT 2017, 6843, 0.680, 6587, 2, 0.940, 467, 69, 16, 1, 37, 18.230, 23.960
Sun Apr 30 10:46:54 EDT 2017, 9318, 0.430, 9087, 9, 0.690, 392, 92, 2, 39, 14, 5.110, 5.607
Sun Apr 30 10:47:50 EDT 2017, 4368, 0.930, 4087, 4, 0.190, 542, 47, 11, 14, 59, 40.840, 55.640
Sun Apr 30 10:48:06 EDT 2017, 3130, 0.300, 5337, 6, 0.570, 579, 13, 18, 33, 26, 13.757, 16.213
