# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 0 12', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 3tHeap_timing_secs
Tue Jan 10 23:01:11 EST 2017, 9487, 0.970, 3, 0.700, 392, 27, 15, 27, 43, 11.983, 11.633
Tue Jan 10 23:03:32 EST 2017, 7012, 0.220, 0, 0.450, 317, 95, 19, 14, 66, 31.040, 26.110
Tue Jan 10 23:06:08 EST 2017, 2062, 0.720, 6, 0.950, 467, 50, 10, 39, 21, 9.320, 9.010
Tue Jan 10 23:08:04 EST 2017, 1443, 0.290, 2, 0.640, 524, 44, 2, 17, 83, 3.010, 3.500
Tue Jan 10 23:10:40 EST 2017, 6393, 0.790, 8, 0.140, 374, 89, 11, 42, 38, 35.750, 35.350
Tue Jan 10 23:14:11 EST 2017, 8868, 0.040, 11, 0.890, 449, 22, 16, 5, 60, 3.827, 3.130
Tue Jan 10 23:16:16 EST 2017, 3918, 0.540, 5, 0.390, 599, 67, 6, 30, 15, 6.070, 6.190
Tue Jan 10 23:18:27 EST 2017, 2681, 0.160, 7, 0.510, 411, 55, 4, 48, 94, 15.093, 15.313
Tue Jan 10 23:22:23 EST 2017, 7631, 0.660, 1, 0.010, 561, 10, 13, 23, 49, 7.783, 8.370
Tue Jan 10 23:24:39 EST 2017, 5156, 0.410, 4, 0.760, 486, 78, 18, 36, 71, 70.867, 71.163
Tue Jan 10 23:28:31 EST 2017, 206, 0.910, 10, 0.260, 336, 33, 9, 11, 26, 0.080, 4.190
Tue Jan 10 23:30:11 EST 2017, 245, 0.080, 7, 0.840, 471, 19, 15, 3, 23, 1.293, 1.220
Tue Jan 10 23:31:32 EST 2017, 5195, 0.580, 1, 0.340, 321, 64, 5, 28, 68, 6.037, 6.160
Tue Jan 10 23:35:28 EST 2017, 7670, 0.330, 4, 0.590, 396, 42, 1, 15, 46, 0.997, 1.023
Tue Jan 10 23:39:29 EST 2017, 2720, 0.830, 10, 0.090, 546, 87, 10, 40, 91, 113.730, 112.683
Tue Jan 10 23:41:45 EST 2017, 3957, 0.450, 2, 0.960, 433, 98, 17, 34, 12, 8.677, 8.037
Tue Jan 10 23:45:02 EST 2017, 8907, 0.950, 8, 0.460, 583, 53, 8, 9, 57, 0.197, 19.640
Tue Jan 10 23:48:54 EST 2017, 6432, 0.200, 11, 0.710, 508, 75, 3, 47, 34, 7.003, 7.040
Tue Jan 10 23:53:11 EST 2017, 1482, 0.700, 5, 0.210, 358, 30, 12, 22, 79, 20.737, 18.810
Tue Jan 10 23:57:03 EST 2017, 2101, 0.270, 9, 0.400, 302, 25, 16, 44, 17, 3.953, 3.843
Wed Jan 11 00:00:24 EST 2017, 7051, 0.770, 3, 0.900, 452, 70, 6, 19, 62, 13.077, 12.223
Wed Jan 11 00:03:00 EST 2017, 9526, 0.020, 0, 0.150, 527, 47, 2, 31, 40, 2.400, 2.523
Wed Jan 11 00:07:22 EST 2017, 4576, 0.520, 6, 0.650, 377, 92, 11, 6, 85, 24.697, 21.130
Wed Jan 11 00:11:18 EST 2017, 3338, 0.140, 4, 0.280, 565, 81, 18, 12, 29, 15.413, 15.000
Wed Jan 11 00:13:28 EST 2017, 8288, 0.640, 10, 0.780, 415, 36, 9, 37, 74, 19.880, 19.187
Wed Jan 11 00:17:15 EST 2017, 5813, 0.390, 7, 0.030, 340, 58, 4, 0, 51, 2.483, 3.247
Wed Jan 11 00:19:25 EST 2017, 863, 0.890, 1, 0.530, 490, 13, 14, 25, 96, 9.783, 10.623
Wed Jan 11 00:21:36 EST 2017, 1173, 0.420, 3, 0.740, 555, 33, 6, 39, 93, 16.333, 15.120
Wed Jan 11 00:22:52 EST 2017, 6123, 0.920, 9, 0.240, 405, 78, 15, 14, 48, 33.453, 31.770
Wed Jan 11 00:24:28 EST 2017, 8598, 0.170, 6, 0.990, 330, 11, 11, 26, 71, 2.787, 2.687
Wed Jan 11 00:25:28 EST 2017, 3648, 0.670, 0, 0.490, 480, 56, 1, 1, 26, 0.710, 0.800
Wed Jan 11 00:27:44 EST 2017, 4885, 0.050, 11, 0.620, 368, 67, 8, 20, 82, 13.760, 12.943
Wed Jan 11 00:29:05 EST 2017, 9835, 0.550, 5, 0.120, 518, 22, 18, 45, 37, 31.837, 20.793
Wed Jan 11 00:30:55 EST 2017, 7360, 0.300, 2, 0.870, 593, 89, 13, 8, 60, 17.557, 15.017
Wed Jan 11 00:34:41 EST 2017, 2410, 0.800, 8, 0.370, 443, 44, 4, 33, 15, 2.727, 2.783
Wed Jan 11 00:36:52 EST 2017, 1791, 0.230, 1, 0.060, 387, 50, 7, 11, 88, 4.937, 6.207
Wed Jan 11 00:40:08 EST 2017, 6741, 0.730, 7, 0.560, 537, 95, 17, 36, 43, 79.977, 73.507
Wed Jan 11 00:43:04 EST 2017, 9216, 0.480, 10, 0.310, 462, 28, 12, 23, 65, 15.087, 15.093
Wed Jan 11 00:47:00 EST 2017, 4266, 0.980, 4, 0.810, 312, 73, 2, 48, 20, 0.087, 2.623
Wed Jan 11 00:50:41 EST 2017, 3029, 0.360, 8, 0.180, 499, 61, 9, 30, 99, 40.980, 43.163
Wed Jan 11 00:54:02 EST 2017, 7979, 0.860, 2, 0.680, 349, 16, 19, 5, 54, 4.490, 4.210
Wed Jan 11 00:55:58 EST 2017, 5504, 0.110, 5, 0.430, 424, 84, 14, 42, 77, 53.543, 51.890
Wed Jan 11 00:59:09 EST 2017, 554, 0.610, 11, 0.930, 574, 39, 5, 17, 32, 4.077, 4.083
Wed Jan 11 01:02:45 EST 2017, 709, 0.310, 0, 0.260, 344, 77, 10, 37, 72, 30.893, 31.083
Wed Jan 11 01:06:16 EST 2017, 5659, 0.810, 6, 0.760, 494, 32, 1, 12, 27, 0.297, 0.827
Wed Jan 11 01:09:12 EST 2017, 8134, 0.060, 9, 0.010, 569, 99, 6, 49, 95, 50.367, 51.653
Wed Jan 11 01:12:53 EST 2017, 3184, 0.560, 3, 0.510, 419, 54, 15, 24, 50, 25.437, 22.677
Wed Jan 11 01:16:39 EST 2017, 4421, 0.190, 7, 0.380, 532, 43, 13, 5, 61, 9.993, 10.110
Wed Jan 11 01:20:36 EST 2017, 9371, 0.690, 1, 0.880, 382, 88, 3, 30, 16, 1.427, 1.377
Wed Jan 11 01:22:41 EST 2017, 6896, 0.440, 4, 0.130, 307, 20, 8, 18, 84, 6.137, 6.177
Wed Jan 11 01:27:38 EST 2017, 1946, 0.940, 10, 0.630, 457, 65, 17, 43, 39, 52.593, 51.443
Wed Jan 11 01:30:19 EST 2017, 2565, 0.000, 4, 0.950, 513, 60, 12, 15, 55, 11.223, 9.643
Wed Jan 11 01:32:45 EST 2017, 7515, 0.500, 10, 0.450, 363, 15, 2, 40, 10, 0.190, 0.447
Wed Jan 11 01:35:00 EST 2017, 9990, 0.250, 7, 0.700, 438, 82, 7, 2, 78, 9.157, 8.383
Wed Jan 11 01:38:21 EST 2017, 5040, 0.750, 1, 0.200, 588, 37, 16, 27, 33, 24.470, 21.373
Wed Jan 11 01:40:32 EST 2017, 3802, 0.370, 11, 0.820, 401, 49, 14, 46, 67, 35.690, 33.703
Wed Jan 11 01:43:13 EST 2017, 8752, 0.870, 5, 0.320, 551, 94, 4, 21, 22, 7.560, 7.767
Wed Jan 11 01:47:14 EST 2017, 6277, 0.120, 2, 0.570, 476, 26, 9, 33, 89, 8.583, 8.573
Wed Jan 11 01:49:30 EST 2017, 1327, 0.620, 8, 0.070, 326, 71, 19, 8, 44, 18.480, 16.757
Wed Jan 11 01:53:16 EST 2017, 1018, 0.160, 9, 0.170, 429, 91, 1, 19, 53, 2.690, 3.173
Wed Jan 11 01:55:12 EST 2017, 5968, 0.660, 3, 0.670, 579, 46, 11, 44, 98, 57.917, 55.813
Wed Jan 11 01:56:23 EST 2017, 8443, 0.410, 0, 0.420, 504, 68, 16, 7, 30, 11.097, 10.040
Wed Jan 11 01:58:24 EST 2017, 3493, 0.910, 6, 0.920, 354, 23, 6, 32, 75, 7.493, 7.007
