# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Sun Jul  2 11:13:12 EDT 2017, 0.000, 146, 25, 5, 29, 358, 17, 23, 20, 31, 27.063, 21.433
Sun Jul  2 11:13:28 EDT 2017, 0.010, 133, 27, 9, 18, 425, 9, 29, 21, 32, 15.120, 12.780
Sun Jul  2 11:14:07 EDT 2017, 0.510, 153, 22, 5, 29, 575, 19, 49, 6, 12, 38.667, 31.320
Sun Jul  2 11:14:15 EDT 2017, 0.760, 123, 20, 7, 23, 350, 14, 19, 29, 22, 8.440, 7.193
Sun Jul  2 11:14:35 EDT 2017, 0.260, 143, 25, 3, 12, 500, 5, 39, 14, 42, 19.783, 16.783
Sun Jul  2 11:14:55 EDT 2017, 0.380, 128, 24, 8, 20, 462, 7, 44, 18, 27, 19.457, 16.073
Sun Jul  2 11:15:45 EDT 2017, 0.880, 148, 29, 4, 9, 312, 16, 24, 3, 47, 49.733, 38.290
Sun Jul  2 11:16:53 EDT 2017, 0.630, 138, 26, 6, 15, 537, 12, 34, 25, 37, 67.753, 53.157
Sun Jul  2 11:16:53 EDT 2017, 0.130, 158, 21, 2, 26, 387, 2, 14, 10, 17, 0.280, 0.297
Sun Jul  2 11:17:10 EDT 2017, 0.190, 120, 25, 4, 27, 406, 8, 32, 16, 30, 16.797, 14.070
Sun Jul  2 11:17:12 EDT 2017, 0.690, 140, 20, 8, 16, 556, 18, 12, 1, 10, 1.440, 1.523
Sun Jul  2 11:17:40 EDT 2017, 0.940, 130, 23, 2, 11, 331, 13, 42, 23, 20, 27.527, 21.563
Sun Jul  2 11:17:42 EDT 2017, 0.440, 150, 28, 6, 22, 481, 3, 22, 8, 40, 1.897, 1.983
Sun Jul  2 11:17:44 EDT 2017, 0.320, 135, 22, 5, 8, 519, 6, 17, 20, 25, 2.427, 2.407
Sun Jul  2 11:19:26 EDT 2017, 0.820, 155, 27, 9, 19, 369, 15, 37, 5, 45, 101.150, 76.470
Sun Jul  2 11:20:05 EDT 2017, 0.570, 125, 29, 3, 25, 594, 11, 27, 27, 35, 38.823, 31.953
Sun Jul  2 11:20:05 EDT 2017, 0.070, 145, 24, 7, 14, 444, 1, 47, 12, 15, 0.413, 0.363
Sun Jul  2 11:24:54 EDT 2017, 0.100, 127, 20, 6, 13, 359, 19, 35, 13, 49, 287.683, 208.773
Sun Jul  2 11:25:00 EDT 2017, 0.600, 147, 25, 2, 24, 509, 10, 15, 28, 29, 5.820, 5.457
Sun Jul  2 11:25:04 EDT 2017, 0.850, 137, 28, 8, 29, 434, 5, 45, 5, 19, 4.443, 4.180
Sun Jul  2 11:26:13 EDT 2017, 0.350, 157, 23, 4, 18, 584, 15, 25, 20, 39, 68.827, 53.410
Sun Jul  2 11:26:15 EDT 2017, 0.480, 132, 26, 7, 27, 547, 17, 10, 9, 14, 1.953, 1.997
Sun Jul  2 11:26:32 EDT 2017, 0.980, 152, 21, 3, 16, 397, 8, 30, 24, 34, 16.793, 13.703
Sun Jul  2 11:26:35 EDT 2017, 0.730, 122, 24, 9, 10, 472, 3, 20, 2, 44, 2.323, 2.527
Sun Jul  2 11:26:56 EDT 2017, 0.230, 142, 29, 5, 21, 322, 12, 40, 17, 24, 20.990, 16.927
Sun Jul  2 11:28:12 EDT 2017, 0.160, 139, 22, 3, 23, 303, 18, 23, 7, 46, 75.520, 56.947
Sun Jul  2 11:28:32 EDT 2017, 0.660, 159, 27, 7, 12, 453, 9, 43, 22, 26, 20.340, 16.923
Sun Jul  2 11:28:33 EDT 2017, 0.910, 129, 25, 5, 17, 378, 4, 13, 0, 16, 0.240, 0.267
Sun Jul  2 11:29:43 EDT 2017, 0.410, 149, 20, 9, 28, 528, 13, 33, 15, 36, 69.943, 54.217
Sun Jul  2 11:30:08 EDT 2017, 0.290, 124, 28, 2, 14, 566, 16, 48, 11, 11, 24.893, 21.020
Sun Jul  2 11:30:15 EDT 2017, 0.790, 144, 23, 6, 25, 416, 6, 28, 26, 31, 6.613, 5.993
Sun Jul  2 11:30:18 EDT 2017, 0.540, 134, 21, 4, 20, 491, 2, 38, 4, 41, 3.753, 3.577
Sun Jul  2 11:30:21 EDT 2017, 0.040, 154, 26, 8, 9, 341, 11, 18, 19, 21, 2.777, 2.663
Sun Jul  2 11:30:34 EDT 2017, 0.050, 122, 23, 5, 24, 542, 4, 42, 5, 34, 12.627, 11.220
Sun Jul  2 11:30:38 EDT 2017, 0.550, 142, 28, 9, 13, 392, 14, 22, 20, 14, 3.340, 3.190
