# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Sun Jul  2 19:15:56 EDT 2017, 0.910, 145, 21, 4, 18, 490, 7, 46, 8, 44, 65.317, 4.953
Sun Jul  2 19:15:57 EDT 2017, 0.660, 135, 23, 6, 13, 415, 2, 16, 15, 34, 0.640, 0.577
Sun Jul  2 19:16:07 EDT 2017, 0.160, 155, 28, 2, 24, 565, 12, 36, 0, 14, 10.297, 1.880
Sun Jul  2 19:17:09 EDT 2017, 0.220, 122, 24, 4, 20, 584, 18, 19, 25, 36, 61.147, 3.873
Sun Jul  2 19:17:14 EDT 2017, 0.720, 142, 29, 8, 9, 434, 8, 39, 10, 16, 5.340, 1.423
Sun Jul  2 19:17:16 EDT 2017, 0.970, 132, 26, 2, 14, 509, 3, 29, 17, 26, 1.963, 1.010
Sun Jul  2 19:20:29 EDT 2017, 0.470, 152, 21, 6, 25, 359, 13, 49, 2, 46, 192.070, 6.343
Sun Jul  2 19:20:49 EDT 2017, 0.350, 137, 27, 5, 17, 322, 15, 34, 28, 21, 20.267, 1.933
Sun Jul  2 19:20:53 EDT 2017, 0.850, 157, 22, 9, 28, 472, 6, 14, 13, 41, 3.133, 1.220
Sun Jul  2 19:20:54 EDT 2017, 0.600, 127, 20, 3, 23, 397, 1, 44, 21, 31, 1.063, 0.857
Sun Jul  2 19:20:56 EDT 2017, 0.100, 147, 25, 7, 12, 547, 10, 24, 6, 11, 2.103, 0.923
Sun Jul  2 19:21:03 EDT 2017, 0.070, 129, 28, 6, 15, 481, 10, 12, 5, 42, 6.887, 1.530
Sun Jul  2 19:21:41 EDT 2017, 0.570, 149, 23, 2, 26, 331, 19, 32, 20, 22, 37.767, 2.523
Sun Jul  2 19:21:47 EDT 2017, 0.820, 139, 21, 8, 20, 556, 15, 22, 12, 12, 5.193, 1.423
Sun Jul  2 19:21:56 EDT 2017, 0.320, 159, 26, 4, 9, 406, 5, 42, 27, 32, 9.267, 1.877
Sun Jul  2 19:22:02 EDT 2017, 0.440, 134, 22, 7, 23, 443, 7, 37, 1, 17, 5.517, 1.360
Sun Jul  2 19:22:37 EDT 2017, 0.940, 154, 27, 3, 12, 593, 17, 17, 16, 37, 34.977, 3.600
Sun Jul  2 19:25:21 EDT 2017, 0.690, 124, 25, 9, 18, 368, 12, 47, 9, 47, 163.907, 5.623
Sun Jul  2 19:25:23 EDT 2017, 0.190, 144, 20, 5, 29, 518, 3, 27, 24, 27, 2.027, 1.107
Sun Jul  2 19:26:44 EDT 2017, 0.130, 136, 27, 3, 25, 500, 9, 45, 3, 40, 80.323, 5.090
Sun Jul  2 19:27:00 EDT 2017, 0.630, 156, 22, 7, 14, 350, 18, 25, 18, 20, 15.043, 2.153
Sun Jul  2 19:27:08 EDT 2017, 0.880, 126, 24, 5, 8, 575, 13, 35, 11, 10, 7.713, 1.523
Sun Jul  2 19:27:09 EDT 2017, 0.380, 146, 29, 9, 19, 425, 4, 15, 26, 30, 0.883, 0.593
Sun Jul  2 19:27:10 EDT 2017, 0.250, 121, 20, 2, 11, 387, 6, 20, 7, 15, 1.290, 0.623
Sun Jul  2 19:29:48 EDT 2017, 0.750, 141, 25, 6, 22, 537, 16, 40, 22, 35, 156.567, 6.127
Sun Jul  2 19:29:52 EDT 2017, 0.500, 131, 28, 4, 27, 312, 11, 10, 14, 45, 4.590, 1.053
Sun Jul  2 19:29:54 EDT 2017, 0.000, 151, 23, 8, 16, 462, 2, 30, 29, 25, 0.880, 0.787
Sun Jul  2 19:30:55 EDT 2017, 0.010, 128, 21, 4, 28, 548, 12, 36, 28, 28, 61.227, 4.137
Sun Jul  2 19:30:57 EDT 2017, 0.510, 148, 26, 8, 17, 398, 3, 16, 13, 48, 1.407, 0.853
Sun Jul  2 19:31:51 EDT 2017, 0.760, 138, 28, 2, 11, 473, 8, 46, 21, 38, 54.553, 4.103
Sun Jul  2 19:32:02 EDT 2017, 0.260, 158, 23, 6, 22, 323, 17, 26, 6, 18, 10.160, 1.467
Sun Jul  2 19:32:05 EDT 2017, 0.380, 133, 27, 5, 8, 360, 10, 11, 24, 33, 2.923, 1.017
Sun Jul  2 19:32:05 EDT 2017, 0.880, 153, 22, 9, 19, 510, 1, 31, 9, 13, 0.203, 0.247
Sun Jul  2 19:32:07 EDT 2017, 0.630, 123, 24, 3, 25, 435, 5, 21, 17, 23, 2.060, 0.913
Sun Jul  2 19:35:30 EDT 2017, 0.130, 143, 29, 7, 14, 585, 15, 41, 2, 43, 202.127, 7.737
Sun Jul  2 19:35:53 EDT 2017, 0.200, 135, 22, 9, 18, 567, 14, 23, 23, 26, 22.970, 2.567
Sun Jul  2 19:36:07 EDT 2017, 0.700, 155, 27, 5, 29, 417, 4, 43, 8, 46, 13.180, 2.390
Sun Jul  2 19:36:12 EDT 2017, 0.950, 125, 25, 7, 24, 492, 9, 13, 15, 36, 5.413, 1.310
Sun Jul  2 19:36:33 EDT 2017, 0.450, 145, 20, 3, 13, 342, 18, 33, 0, 16, 21.020, 1.920
Sun Jul  2 19:37:22 EDT 2017, 0.320, 120, 29, 8, 21, 304, 11, 48, 26, 31, 48.337, 2.833
Sun Jul  2 19:37:23 EDT 2017, 0.820, 140, 24, 4, 10, 454, 2, 28, 11, 11, 0.253, 0.330
Sun Jul  2 19:37:29 EDT 2017, 0.570, 130, 21, 6, 15, 379, 6, 38, 19, 21, 6.413, 1.457
Sun Jul  2 19:38:10 EDT 2017, 0.070, 150, 26, 2, 26, 529, 16, 18, 4, 41, 40.570, 3.260
Sun Jul  2 19:38:11 EDT 2017, 0.100, 132, 27, 3, 22, 463, 4, 27, 7, 12, 0.787, 0.610
Sun Jul  2 19:39:18 EDT 2017, 0.600, 152, 22, 7, 11, 313, 13, 47, 22, 32, 66.777, 3.483
