# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 21:30:30 EDT 2017, 0.690, 139, 23, 4, 28, 452, 6, 15, 0, 14, 1.230, 1.203
Fri Jul  7 21:35:37 EDT 2017, 0.190, 159, 28, 8, 17, 302, 15, 35, 15, 34, 1.510, 1.540
Fri Jul  7 21:40:38 EDT 2017, 0.130, 121, 23, 6, 15, 321, 14, 18, 9, 16, 1.237, 1.243
Fri Jul  7 21:49:15 EDT 2017, 0.630, 141, 28, 2, 26, 471, 5, 38, 24, 36, 1.323, 1.510
Fri Jul  7 21:54:22 EDT 2017, 0.880, 131, 26, 8, 21, 396, 10, 28, 2, 46, 1.833, 1.923
Fri Jul  7 21:59:29 EDT 2017, 0.380, 151, 21, 4, 10, 546, 19, 48, 17, 26, 2.847, 3.017
Fri Jul  7 22:04:21 EDT 2017, 0.250, 136, 27, 7, 23, 583, 12, 33, 13, 41, 1.853, 1.827
Fri Jul  7 22:09:23 EDT 2017, 0.750, 156, 22, 3, 12, 433, 2, 13, 28, 21, 1.043, 1.240
Fri Jul  7 22:14:29 EDT 2017, 0.500, 126, 20, 9, 18, 508, 7, 43, 5, 11, 1.230, 1.243
Fri Jul  7 22:19:26 EDT 2017, 0.000, 146, 25, 5, 29, 358, 17, 23, 20, 31, 1.343, 1.420
Fri Jul  7 22:24:37 EDT 2017, 0.010, 133, 27, 9, 18, 425, 9, 29, 21, 32, 1.340, 1.230
Fri Jul  7 22:29:34 EDT 2017, 0.510, 153, 22, 5, 29, 575, 19, 49, 6, 12, 1.633, 1.837
Fri Jul  7 22:34:10 EDT 2017, 0.760, 123, 20, 7, 23, 350, 14, 19, 29, 22, 1.223, 1.233
Fri Jul  7 22:39:12 EDT 2017, 0.260, 143, 25, 3, 12, 500, 5, 39, 14, 42, 1.443, 1.507
Fri Jul  7 22:44:19 EDT 2017, 0.380, 128, 24, 8, 20, 462, 7, 44, 18, 27, 1.430, 1.220
Fri Jul  7 22:49:35 EDT 2017, 0.880, 148, 29, 4, 9, 312, 16, 24, 3, 47, 1.933, 2.027
Fri Jul  7 22:55:32 EDT 2017, 0.630, 138, 26, 6, 15, 537, 12, 34, 25, 37, 2.017, 2.163
Fri Jul  7 22:57:58 EDT 2017, 0.130, 158, 21, 2, 26, 387, 2, 14, 10, 17, 1.117, 1.037
Fri Jul  7 23:00:34 EDT 2017, 0.190, 120, 25, 4, 27, 406, 8, 32, 16, 30, 1.210, 1.313
Fri Jul  7 23:04:10 EDT 2017, 0.690, 140, 20, 8, 16, 556, 18, 12, 1, 10, 1.250, 1.223
Fri Jul  7 23:12:18 EDT 2017, 0.940, 130, 23, 2, 11, 331, 13, 42, 23, 20, 1.693, 1.827
Fri Jul  7 23:17:30 EDT 2017, 0.440, 150, 28, 6, 22, 481, 3, 22, 8, 40, 1.213, 1.250
Fri Jul  7 23:22:37 EDT 2017, 0.320, 135, 22, 5, 8, 519, 6, 17, 20, 25, 1.217, 1.240
Fri Jul  7 23:28:29 EDT 2017, 0.820, 155, 27, 9, 19, 369, 15, 37, 5, 45, 2.693, 2.703
Fri Jul  7 23:31:15 EDT 2017, 0.570, 125, 29, 3, 25, 594, 11, 27, 27, 35, 1.787, 1.840
Fri Jul  7 23:33:36 EDT 2017, 0.070, 145, 24, 7, 14, 444, 1, 47, 12, 15, 1.243, 1.110
Fri Jul  7 23:37:13 EDT 2017, 0.100, 127, 20, 6, 13, 359, 19, 35, 13, 49, 2.423, 2.520
Fri Jul  7 23:42:15 EDT 2017, 0.600, 147, 25, 2, 24, 509, 10, 15, 28, 29, 1.360, 1.433
Fri Jul  7 23:47:21 EDT 2017, 0.850, 137, 28, 8, 29, 434, 5, 45, 5, 19, 1.233, 1.210
Fri Jul  7 23:52:28 EDT 2017, 0.350, 157, 23, 4, 18, 584, 15, 25, 20, 39, 1.830, 2.043
Fri Jul  7 23:57:30 EDT 2017, 0.480, 132, 26, 7, 27, 547, 17, 10, 9, 14, 1.233, 1.220
Sat Jul  8 00:02:12 EDT 2017, 0.980, 152, 21, 3, 16, 397, 8, 30, 24, 34, 1.677, 1.677
Sat Jul  8 00:07:18 EDT 2017, 0.730, 122, 24, 9, 10, 472, 3, 20, 2, 44, 1.243, 1.240
Sat Jul  8 00:12:20 EDT 2017, 0.230, 142, 29, 5, 21, 322, 12, 40, 17, 24, 1.233, 1.333
Sat Jul  8 00:17:27 EDT 2017, 0.160, 139, 22, 3, 23, 303, 18, 23, 7, 46, 1.673, 1.820
Sat Jul  8 00:22:33 EDT 2017, 0.660, 159, 27, 7, 12, 453, 9, 43, 22, 26, 1.553, 1.547
Sat Jul  8 00:27:35 EDT 2017, 0.910, 129, 25, 5, 17, 378, 4, 13, 0, 16, 1.047, 1.257
Sat Jul  8 00:32:11 EDT 2017, 0.410, 149, 20, 9, 28, 528, 13, 33, 15, 36, 1.933, 2.023
Sat Jul  8 00:37:19 EDT 2017, 0.290, 124, 28, 2, 14, 566, 16, 48, 11, 11, 1.540, 1.567
Sat Jul  8 00:42:20 EDT 2017, 0.790, 144, 23, 6, 25, 416, 6, 28, 26, 31, 1.237, 1.210
Sat Jul  8 00:47:27 EDT 2017, 0.540, 134, 21, 4, 20, 491, 2, 38, 4, 41, 1.257, 1.207
Sat Jul  8 00:52:34 EDT 2017, 0.040, 154, 26, 8, 9, 341, 11, 18, 19, 21, 1.253, 1.243
Sat Jul  8 00:57:35 EDT 2017, 0.050, 122, 23, 5, 24, 542, 4, 42, 5, 34, 1.253, 1.200
Sat Jul  8 01:02:12 EDT 2017, 0.550, 142, 28, 9, 13, 392, 14, 22, 20, 14, 1.243, 1.243
Sat Jul  8 01:07:19 EDT 2017, 0.800, 132, 25, 3, 8, 467, 19, 32, 13, 24, 2.263, 2.450
Sat Jul  8 01:12:20 EDT 2017, 0.300, 152, 20, 7, 19, 317, 9, 12, 28, 44, 1.250, 1.233
Sat Jul  8 01:17:37 EDT 2017, 0.430, 137, 29, 4, 11, 355, 2, 27, 1, 29, 1.263, 1.243
Sat Jul  8 01:22:34 EDT 2017, 0.930, 157, 24, 8, 22, 505, 11, 47, 16, 49, 3.377, 3.733
Sat Jul  8 01:27:36 EDT 2017, 0.680, 127, 22, 2, 27, 430, 16, 17, 9, 39, 1.833, 1.833
Sat Jul  8 01:32:12 EDT 2017, 0.180, 147, 27, 6, 16, 580, 7, 37, 24, 19, 1.243, 1.237
Sat Jul  8 01:37:19 EDT 2017, 0.240, 130, 20, 8, 15, 598, 3, 15, 3, 32, 1.230, 1.213
Sat Jul  8 01:42:21 EDT 2017, 0.740, 150, 25, 4, 26, 448, 13, 35, 18, 12, 1.333, 1.323
Sat Jul  8 01:57:26 EDT 2017, 0.990, 120, 27, 6, 20, 523, 17, 25, 11, 22, 300.000, 300.000
Sat Jul  8 02:01:18 EDT 2017, 0.490, 140, 22, 2, 9, 373, 8, 45, 26, 42, 1.843, 1.880
Sat Jul  8 02:06:25 EDT 2017, 0.370, 125, 26, 9, 23, 336, 1, 30, 7, 27, 1.257, 1.270
Sat Jul  8 02:11:26 EDT 2017, 0.870, 145, 21, 5, 12, 486, 10, 10, 22, 47, 1.553, 1.437
Sat Jul  8 02:20:24 EDT 2017, 0.620, 135, 23, 7, 17, 411, 15, 40, 14, 37, 2.540, 2.527
Sat Jul  8 02:30:07 EDT 2017, 0.120, 155, 28, 3, 28, 561, 5, 20, 29, 17, 1.203, 1.220
Sat Jul  8 02:35:14 EDT 2017, 0.080, 136, 25, 2, 19, 476, 14, 11, 27, 48, 1.233, 1.240
Sat Jul  8 02:40:20 EDT 2017, 0.580, 156, 20, 6, 8, 326, 5, 31, 12, 28, 1.243, 1.337
Sat Jul  8 02:45:22 EDT 2017, 0.830, 126, 23, 4, 14, 551, 10, 21, 19, 18, 1.237, 1.217
Sat Jul  8 02:50:29 EDT 2017, 0.330, 146, 28, 8, 25, 401, 19, 41, 4, 38, 2.440, 2.410
Sat Jul  8 02:55:35 EDT 2017, 0.460, 121, 21, 3, 17, 439, 12, 36, 23, 13, 1.373, 1.550
Sat Jul  8 03:00:07 EDT 2017, 0.960, 141, 26, 7, 28, 589, 3, 16, 8, 33, 1.240, 1.210
Sat Jul  8 03:05:14 EDT 2017, 0.710, 131, 29, 5, 22, 364, 7, 46, 15, 43, 1.853, 1.817
Sat Jul  8 03:10:21 EDT 2017, 0.210, 151, 24, 9, 11, 514, 17, 26, 0, 23, 1.543, 1.520
Sat Jul  8 03:19:29 EDT 2017, 0.150, 128, 28, 7, 10, 495, 13, 48, 25, 46, 2.540, 2.617
Sat Jul  8 03:23:30 EDT 2017, 0.650, 148, 23, 3, 21, 345, 4, 28, 10, 26, 1.227, 1.250
Sat Jul  8 03:28:33 EDT 2017, 0.900, 138, 21, 9, 26, 570, 8, 38, 17, 16, 1.413, 1.437
Sat Jul  8 03:33:09 EDT 2017, 0.400, 158, 26, 5, 15, 420, 18, 18, 2, 36, 1.550, 1.557
Sat Jul  8 03:38:16 EDT 2017, 0.270, 133, 24, 6, 29, 383, 11, 23, 28, 11, 1.230, 1.243
Sat Jul  8 03:43:18 EDT 2017, 0.770, 153, 29, 2, 18, 533, 1, 43, 13, 31, 1.257, 1.233
Sat Jul  8 03:48:24 EDT 2017, 0.520, 123, 27, 8, 13, 308, 6, 13, 21, 41, 1.233, 1.247
Sat Jul  8 04:01:49 EDT 2017, 0.020, 143, 22, 4, 24, 458, 16, 33, 6, 21, 1.540, 1.537
Sat Jul  8 04:04:55 EDT 2017, 0.010, 127, 27, 3, 13, 512, 2, 42, 15, 42, 1.273, 1.247
Sat Jul  8 04:09:50 EDT 2017, 0.510, 147, 22, 7, 24, 362, 11, 22, 0, 22, 1.373, 1.223
Sat Jul  8 04:14:51 EDT 2017, 0.760, 137, 24, 5, 19, 587, 16, 32, 23, 12, 1.540, 1.553
Sat Jul  8 04:20:08 EDT 2017, 0.260, 157, 29, 9, 8, 437, 7, 12, 8, 32, 1.230, 1.257
Sat Jul  8 04:29:36 EDT 2017, 0.390, 132, 21, 2, 21, 399, 4, 27, 19, 17, 1.207, 1.220
Sat Jul  8 04:33:12 EDT 2017, 0.890, 152, 26, 6, 10, 549, 14, 47, 4, 37, 3.460, 3.633
Sat Jul  8 04:38:14 EDT 2017, 0.640, 122, 28, 4, 16, 324, 18, 17, 26, 47, 1.623, 1.857
Sat Jul  8 04:43:16 EDT 2017, 0.140, 142, 23, 8, 27, 474, 9, 37, 11, 27, 1.430, 1.547
