# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, 2tHeap_timing_secs
Mon Jan  9 12:07:50 EST 2017, 3300, 0.850, 2, 0.830, 430, 61, 7, 20, 32, 12.067, 11.117
Mon Jan  9 12:08:18 EST 2017, 4537, 0.470, 8, 0.200, 542, 72, 5, 2, 88, 26.987, 24.377
Mon Jan  9 12:08:37 EST 2017, 9487, 0.970, 3, 0.700, 392, 27, 15, 27, 43, 19.090, 17.627
Mon Jan  9 12:09:20 EST 2017, 7012, 0.220, 1, 0.450, 317, 95, 19, 14, 66, 42.157, 36.283
Mon Jan  9 12:09:41 EST 2017, 2062, 0.720, 5, 0.950, 467, 50, 10, 39, 21, 20.983, 20.017
Mon Jan  9 12:09:52 EST 2017, 1443, 0.290, 3, 0.640, 524, 44, 2, 17, 83, 9.733, 10.320
Mon Jan  9 12:11:01 EST 2017, 6393, 0.790, 7, 0.140, 374, 89, 11, 42, 38, 67.710, 65.697
Mon Jan  9 12:11:14 EST 2017, 8868, 0.040, 9, 0.890, 449, 22, 16, 5, 60, 13.407, 10.940
Mon Jan  9 12:11:27 EST 2017, 3918, 0.540, 5, 0.390, 599, 67, 6, 30, 15, 12.860, 12.497
Mon Jan  9 12:12:15 EST 2017, 2681, 0.160, 6, 0.510, 411, 55, 4, 48, 94, 47.310, 46.027
Mon Jan  9 12:12:20 EST 2017, 7631, 0.660, 1, 0.010, 561, 10, 13, 23, 49, 4.573, 4.460
Mon Jan  9 12:15:40 EST 2017, 5156, 0.410, 4, 0.760, 486, 78, 18, 36, 71, 194.313, 175.743
Mon Jan  9 12:15:46 EST 2017, 206, 0.910, 8, 0.260, 336, 33, 9, 11, 26, 5.147, 4.643
Mon Jan  9 12:15:49 EST 2017, 245, 0.080, 6, 0.840, 471, 19, 15, 3, 23, 3.200, 2.543
Mon Jan  9 12:16:01 EST 2017, 5195, 0.580, 1, 0.340, 321, 64, 5, 28, 68, 11.820, 11.980
Mon Jan  9 12:16:04 EST 2017, 7670, 0.330, 4, 0.590, 396, 42, 1, 15, 46, 2.160, 2.273
Mon Jan  9 12:19:42 EST 2017, 2720, 0.830, 8, 0.090, 546, 87, 10, 40, 91, 209.850, 200.587
Mon Jan  9 12:20:06 EST 2017, 3957, 0.450, 2, 0.960, 433, 98, 17, 34, 12, 23.463, 21.710
Mon Jan  9 12:20:34 EST 2017, 8907, 0.950, 7, 0.460, 583, 53, 8, 9, 57, 27.373, 24.513
Mon Jan  9 12:20:57 EST 2017, 6432, 0.200, 9, 0.710, 508, 75, 3, 47, 34, 22.163, 21.383
Mon Jan  9 12:21:27 EST 2017, 1482, 0.700, 5, 0.210, 358, 30, 12, 22, 79, 29.767, 27.683
Mon Jan  9 12:21:38 EST 2017, 2101, 0.270, 7, 0.400, 302, 25, 16, 44, 17, 10.360, 9.903
Mon Jan  9 12:22:06 EST 2017, 7051, 0.770, 3, 0.900, 452, 70, 6, 19, 62, 28.100, 25.443
Mon Jan  9 12:22:10 EST 2017, 9526, 0.020, 1, 0.150, 527, 47, 2, 31, 40, 3.650, 3.787
Mon Jan  9 12:23:14 EST 2017, 4576, 0.520, 5, 0.650, 377, 92, 11, 6, 85, 62.647, 43.190
Mon Jan  9 12:24:02 EST 2017, 3338, 0.140, 4, 0.280, 565, 81, 18, 12, 29, 47.380, 40.260
Mon Jan  9 12:24:47 EST 2017, 8288, 0.640, 9, 0.780, 415, 36, 9, 37, 74, 44.473, 42.317
Mon Jan  9 12:24:52 EST 2017, 5813, 0.390, 6, 0.030, 340, 58, 4, 0, 51, 5.230, 4.857
Mon Jan  9 12:25:11 EST 2017, 863, 0.890, 2, 0.530, 490, 13, 14, 25, 96, 18.537, 17.590
Mon Jan  9 12:25:50 EST 2017, 1173, 0.420, 3, 0.740, 555, 33, 6, 39, 93, 38.543, 37.320
Mon Jan  9 12:26:49 EST 2017, 6123, 0.920, 8, 0.240, 405, 78, 15, 14, 48, 56.947, 48.330
Mon Jan  9 12:26:58 EST 2017, 8598, 0.170, 5, 0.990, 330, 11, 11, 26, 71, 8.860, 8.163
Mon Jan  9 12:26:59 EST 2017, 3648, 0.670, 1, 0.490, 480, 56, 1, 1, 26, 0.593, 0.623
Mon Jan  9 12:27:49 EST 2017, 4885, 0.050, 9, 0.620, 368, 67, 8, 20, 82, 49.283, 45.387
Mon Jan  9 12:28:24 EST 2017, 9835, 0.550, 4, 0.120, 518, 22, 18, 45, 37, 34.557, 33.050
Mon Jan  9 12:29:20 EST 2017, 7360, 0.300, 2, 0.870, 593, 89, 13, 8, 60, 54.217, 44.993
Mon Jan  9 12:29:25 EST 2017, 2410, 0.800, 7, 0.370, 443, 44, 4, 33, 15, 4.733, 4.673
Mon Jan  9 12:29:44 EST 2017, 1791, 0.230, 2, 0.060, 387, 50, 7, 11, 88, 18.023, 17.363
Mon Jan  9 12:32:30 EST 2017, 6741, 0.730, 6, 0.560, 537, 95, 17, 36, 43, 164.697, 146.480
Mon Jan  9 12:33:04 EST 2017, 9216, 0.480, 8, 0.310, 462, 28, 12, 23, 65, 32.463, 29.847
Mon Jan  9 12:33:09 EST 2017, 4266, 0.980, 4, 0.810, 312, 73, 2, 48, 20, 4.787, 4.620
Mon Jan  9 12:34:58 EST 2017, 3029, 0.360, 7, 0.180, 499, 61, 9, 30, 99, 107.053, 103.130
Mon Jan  9 12:35:04 EST 2017, 7979, 0.860, 3, 0.680, 349, 16, 19, 5, 54, 6.433, 5.537
Mon Jan  9 12:38:20 EST 2017, 5504, 0.110, 5, 0.430, 424, 84, 14, 42, 77, 190.610, 169.587
Mon Jan  9 12:38:30 EST 2017, 554, 0.610, 9, 0.930, 574, 39, 5, 17, 32, 9.640, 8.777
Mon Jan  9 12:39:07 EST 2017, 709, 0.310, 1, 0.260, 344, 77, 10, 37, 72, 36.770, 36.813
Mon Jan  9 12:39:08 EST 2017, 5659, 0.810, 5, 0.760, 494, 32, 1, 12, 27, 1.050, 1.150
Mon Jan  9 12:42:21 EST 2017, 8134, 0.060, 8, 0.010, 569, 99, 6, 49, 95, 191.333, 182.833
Mon Jan  9 12:43:07 EST 2017, 3184, 0.560, 3, 0.510, 419, 54, 15, 24, 50, 45.563, 41.143
Mon Jan  9 12:43:36 EST 2017, 4421, 0.190, 6, 0.380, 532, 43, 13, 5, 61, 29.197, 22.903
Mon Jan  9 12:43:41 EST 2017, 9371, 0.690, 2, 0.880, 382, 88, 3, 30, 16, 4.367, 4.270
Mon Jan  9 12:43:51 EST 2017, 6896, 0.440, 4, 0.130, 307, 20, 8, 18, 84, 10.227, 9.583
Mon Jan  9 12:45:32 EST 2017, 1946, 0.940, 9, 0.630, 457, 65, 17, 43, 39, 100.137, 93.777
Mon Jan  9 12:46:18 EST 2017, 2565, 0.000, 4, 0.950, 513, 60, 12, 15, 55, 44.977, 38.167
Mon Jan  9 12:46:19 EST 2017, 7515, 0.500, 8, 0.450, 363, 15, 2, 40, 10, 0.667, 0.737
Mon Jan  9 12:46:52 EST 2017, 9990, 0.250, 6, 0.700, 438, 82, 7, 2, 78, 30.397, 21.547
Mon Jan  9 12:47:09 EST 2017, 5040, 0.750, 1, 0.200, 588, 37, 16, 27, 33, 16.977, 16.333
Mon Jan  9 12:48:48 EST 2017, 3802, 0.370, 9, 0.820, 401, 49, 14, 46, 67, 98.893, 92.697
Mon Jan  9 12:49:04 EST 2017, 8752, 0.870, 5, 0.320, 551, 94, 4, 21, 22, 14.263, 13.020
Mon Jan  9 12:49:37 EST 2017, 6277, 0.120, 3, 0.570, 476, 26, 9, 33, 89, 33.080, 31.063
Mon Jan  9 12:50:16 EST 2017, 1327, 0.620, 7, 0.070, 326, 71, 19, 8, 44, 38.207, 29.507
Mon Jan  9 12:50:25 EST 2017, 1018, 0.160, 8, 0.170, 429, 91, 1, 19, 53, 7.660, 8.653
Mon Jan  9 12:52:27 EST 2017, 5968, 0.660, 3, 0.670, 579, 46, 11, 44, 98, 120.880, 113.420
Mon Jan  9 12:52:40 EST 2017, 8443, 0.410, 1, 0.420, 504, 68, 16, 7, 30, 12.620, 11.280
Mon Jan  9 12:52:54 EST 2017, 3493, 0.910, 6, 0.920, 354, 23, 6, 32, 75, 14.367, 13.783
Mon Jan  9 12:52:58 EST 2017, 4730, 0.280, 4, 0.040, 466, 12, 4, 38, 41, 3.920, 3.870
Mon Jan  9 12:53:50 EST 2017, 9680, 0.780, 9, 0.540, 316, 57, 13, 13, 86, 50.943, 41.830
Mon Jan  9 12:54:06 EST 2017, 7205, 0.030, 7, 0.290, 391, 35, 18, 26, 19, 15.687, 14.587
Mon Jan  9 12:54:30 EST 2017, 2255, 0.530, 2, 0.790, 541, 80, 9, 1, 64, 23.397, 18.143
Mon Jan  9 12:54:51 EST 2017, 1637, 0.470, 5, 0.600, 597, 85, 3, 29, 36, 20.457, 20.257
Mon Jan  9 12:55:04 EST 2017, 6587, 0.970, 1, 0.100, 447, 40, 12, 4, 81, 12.340, 11.450
