# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jan  9 13:51:44 EST 2017, 1003, 0.030, 4, 0.660, 327, 26, 9, 43, 69, 27.820, 26.477
Mon Jan  9 13:52:38 EST 2017, 5953, 0.530, 8, 0.160, 477, 71, 18, 18, 24, 44.017, 50.620
Mon Jan  9 13:55:31 EST 2017, 8428, 0.280, 6, 0.910, 552, 49, 13, 30, 91, 142.460, 149.947
Mon Jan  9 13:55:42 EST 2017, 3478, 0.780, 2, 0.410, 402, 94, 4, 5, 46, 9.803, 10.153
Mon Jan  9 13:57:04 EST 2017, 4716, 0.410, 9, 0.540, 590, 83, 6, 24, 58, 71.840, 67.283
Mon Jan  9 13:57:30 EST 2017, 9666, 0.910, 5, 0.040, 440, 38, 16, 49, 13, 24.447, 20.027
Mon Jan  9 13:58:23 EST 2017, 7191, 0.160, 3, 0.790, 365, 60, 11, 11, 80, 45.417, 48.323
Mon Jan  9 13:58:25 EST 2017, 2241, 0.660, 7, 0.290, 515, 15, 1, 36, 35, 1.380, 1.470
Mon Jan  9 13:58:31 EST 2017, 1622, 0.340, 1, 0.100, 458, 21, 10, 8, 63, 4.827, 5.190
Mon Jan  9 13:59:06 EST 2017, 6572, 0.840, 6, 0.600, 308, 66, 19, 33, 18, 27.577, 34.180
Mon Jan  9 14:00:40 EST 2017, 9047, 0.090, 8, 0.350, 383, 43, 14, 21, 86, 67.960, 87.423
