# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--recvr-range 1 10000', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', heap_timing_secs, binomHeap_timing_secs
Sun Apr 30 11:32:24 EDT 2017, 6867, 0.190, 2071, 1, 0.880, 430, 84, 4, 15, 77, 14.630, 18.163
Sun Apr 30 11:33:19 EDT 2017, 1917, 0.690, 7070, 5, 0.380, 580, 39, 14, 40, 32, 45.727, 54.847
Sun Apr 30 11:33:26 EDT 2017, 2536, 0.250, 196, 8, 0.320, 598, 22, 3, 6, 60, 4.080, 6.163
Sun Apr 30 11:33:46 EDT 2017, 7486, 0.750, 5195, 3, 0.820, 448, 67, 12, 31, 15, 17.377, 19.773
Sun Apr 30 11:34:38 EDT 2017, 9961, 0.000, 7695, 6, 0.570, 523, 89, 8, 18, 37, 41.997, 52.073
Sun Apr 30 11:35:43 EDT 2017, 5011, 0.500, 2696, 1, 0.070, 373, 44, 17, 43, 82, 55.893, 61.920
Sun Apr 30 11:35:48 EDT 2017, 3773, 0.120, 6445, 9, 0.690, 336, 11, 10, 12, 49, 3.943, 5.140
Sun Apr 30 11:36:05 EDT 2017, 8723, 0.620, 1446, 5, 0.190, 486, 56, 1, 37, 94, 13.393, 15.633
Sun Apr 30 11:38:54 EDT 2017, 6248, 0.370, 3945, 7, 0.440, 411, 78, 15, 24, 71, 137.670, 165.083
Sun Apr 30 11:39:05 EDT 2017, 1298, 0.870, 8945, 2, 0.940, 561, 33, 5, 49, 26, 9.527, 10.450
Sun Apr 30 11:39:16 EDT 2017, 989, 0.410, 5508, 1, 0.540, 476, 75, 1, 45, 96, 9.333, 10.507
Sun Apr 30 11:39:37 EDT 2017, 5939, 0.910, 508, 5, 0.040, 326, 30, 11, 20, 51, 15.700, 20.967
Sun Apr 30 11:39:58 EDT 2017, 8414, 0.160, 3008, 3, 0.290, 551, 53, 6, 32, 29, 17.180, 20.887
Sun Apr 30 11:42:03 EDT 2017, 3464, 0.660, 8008, 8, 0.790, 401, 98, 15, 7, 74, 102.153, 120.760
Sun Apr 30 11:42:27 EDT 2017, 4701, 0.030, 1758, 2, 0.410, 439, 64, 13, 38, 18, 20.390, 23.993
Sun Apr 30 11:42:35 EDT 2017, 9651, 0.530, 6758, 7, 0.910, 589, 19, 4, 13, 63, 6.233, 7.530
Sun Apr 30 11:44:23 EDT 2017, 7176, 0.280, 9257, 4, 0.660, 364, 41, 18, 26, 85, 81.830, 98.043
Sun Apr 30 11:45:01 EDT 2017, 2226, 0.780, 4258, 9, 0.160, 514, 86, 8, 1, 40, 21.943, 37.110
Sun Apr 30 11:51:54 EDT 2017, 1608, 0.220, 8632, 7, 0.100, 495, 70, 19, 41, 91, 336.747, 398.817
Sun Apr 30 11:52:05 EDT 2017, 6558, 0.720, 3633, 3, 0.600, 345, 25, 9, 16, 46, 7.653, 10.137
Sun Apr 30 11:52:42 EDT 2017, 9033, 0.470, 1133, 9, 0.850, 570, 47, 14, 29, 23, 32.780, 36.983
Sun Apr 30 11:53:20 EDT 2017, 4083, 0.970, 6133, 5, 0.350, 420, 92, 5, 4, 68, 25.297, 37.203
Sun Apr 30 11:53:30 EDT 2017, 2845, 0.340, 4883, 6, 0.980, 383, 58, 7, 48, 12, 9.890, 10.440
Sun Apr 30 11:53:49 EDT 2017, 7795, 0.840, 9882, 2, 0.480, 533, 13, 17, 23, 57, 14.270, 18.067
Sun Apr 30 11:53:59 EDT 2017, 5320, 0.090, 7383, 8, 0.230, 308, 36, 2, 35, 79, 8.460, 10.180
Sun Apr 30 11:54:38 EDT 2017, 370, 0.590, 2383, 4, 0.730, 458, 81, 12, 10, 34, 30.290, 37.980
Sun Apr 30 11:55:16 EDT 2017, 293, 0.190, 7304, 3, 0.250, 512, 15, 16, 25, 82, 28.150, 36.353
Sun Apr 30 11:55:25 EDT 2017, 5243, 0.690, 2305, 7, 0.750, 362, 60, 6, 0, 37, 5.600, 8.670
Sun Apr 30 11:56:04 EDT 2017, 7718, 0.440, 4805, 5, 0.500, 587, 83, 11, 38, 14, 33.133, 38.370
