# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, heap_timing_secs
Mon Jul  3 11:38:40 EDT 2017, 0.100, 122, 26, 2, 14, 594, 12, 14, 18, 39, 17.597, 2.000
Mon Jul  3 11:38:41 EDT 2017, 0.600, 142, 21, 6, 25, 444, 3, 34, 3, 19, 1.417, 0.740
Mon Jul  3 11:38:52 EDT 2017, 0.850, 132, 23, 4, 19, 519, 8, 24, 26, 29, 10.813, 1.547
Mon Jul  3 11:42:45 EDT 2017, 0.350, 152, 28, 8, 8, 369, 17, 44, 11, 49, 231.723, 5.703
Mon Jul  3 11:43:30 EDT 2017, 0.480, 137, 22, 3, 22, 332, 15, 39, 15, 24, 45.370, 2.593
Mon Jul  3 11:43:34 EDT 2017, 0.980, 157, 27, 7, 11, 482, 5, 19, 0, 44, 4.193, 1.213
Mon Jul  3 11:44:42 EDT 2017, 0.730, 127, 29, 5, 16, 407, 10, 49, 22, 34, 67.590, 3.173
Mon Jul  3 11:44:59 EDT 2017, 0.230, 147, 24, 9, 27, 557, 19, 29, 7, 14, 16.113, 1.850
Mon Jul  3 11:46:38 EDT 2017, 0.170, 134, 28, 7, 26, 538, 11, 47, 17, 36, 99.450, 4.383
Mon Jul  3 11:46:39 EDT 2017, 0.670, 154, 23, 3, 15, 388, 2, 27, 2, 16, 0.633, 0.917
Mon Jul  3 11:46:51 EDT 2017, 0.920, 124, 20, 9, 9, 463, 6, 37, 24, 26, 11.127, 1.607
Mon Jul  3 11:47:18 EDT 2017, 0.420, 144, 25, 5, 20, 313, 16, 17, 9, 46, 26.790, 1.887
Mon Jul  3 11:47:27 EDT 2017, 0.290, 129, 24, 6, 12, 351, 14, 22, 20, 21, 8.987, 1.220
Mon Jul  3 11:47:40 EDT 2017, 0.790, 149, 29, 2, 23, 501, 4, 42, 5, 41, 13.117, 1.993
Mon Jul  3 11:47:43 EDT 2017, 0.540, 139, 26, 8, 29, 426, 9, 12, 28, 31, 2.663, 0.827
Mon Jul  3 11:47:56 EDT 2017, 0.040, 159, 21, 4, 18, 576, 18, 32, 13, 11, 13.047, 1.720
Mon Jul  3 11:48:07 EDT 2017, 0.060, 127, 28, 9, 24, 308, 7, 26, 29, 44, 10.857, 1.400
Mon Jul  3 11:49:30 EDT 2017, 0.560, 147, 23, 5, 13, 458, 16, 46, 14, 24, 82.673, 4.120
