# 'Timestamp', '--gvt-delay 100 10000', '--imbalance% 0 100', '--delay 1 10', '--selfEvents% 0 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', ladderQ_timing_secs, 2tLadderQ_timing_secs
Mon Jan  9 10:22:09 EST 2017, 7918, 0.190, 7, 0.480, 320, 71, 6, 34, 76, 45.367, 45.160
Mon Jan  9 10:22:16 EST 2017, 2968, 0.690, 2, 0.980, 470, 26, 15, 9, 31, 6.780, 6.837
Mon Jan  9 10:22:34 EST 2017, 4206, 0.070, 8, 0.110, 358, 14, 13, 16, 87, 14.730, 14.670
Mon Jan  9 10:22:52 EST 2017, 9156, 0.570, 4, 0.610, 508, 59, 3, 41, 42, 17.350, 17.290
Mon Jan  9 10:22:59 EST 2017, 6681, 0.320, 1, 0.360, 583, 37, 8, 3, 65, 7.433, 7.497
Mon Jan  9 10:23:44 EST 2017, 1731, 0.820, 6, 0.860, 433, 82, 18, 28, 20, 44.560, 44.560
Mon Jan  9 10:24:21 EST 2017, 2350, 0.130, 2, 0.550, 376, 88, 12, 0, 82, 34.920, 35.390
Mon Jan  9 10:24:28 EST 2017, 7300, 0.630, 6, 0.050, 526, 43, 2, 25, 37, 6.197, 6.110
Mon Jan  9 10:24:57 EST 2017, 9775, 0.380, 9, 0.800, 451, 65, 7, 12, 59, 28.507, 27.903
Mon Jan  9 10:25:02 EST 2017, 4825, 0.880, 4, 0.300, 301, 20, 16, 37, 14, 5.277, 5.243
Mon Jan  9 10:26:19 EST 2017, 3587, 0.250, 5, 0.670, 489, 31, 14, 31, 93, 75.560, 74.827
Mon Jan  9 10:26:23 EST 2017, 8537, 0.750, 1, 0.170, 339, 76, 4, 6, 48, 4.287, 4.377
Mon Jan  9 10:27:24 EST 2017, 6062, 0.000, 3, 0.920, 414, 54, 9, 44, 70, 59.370, 58.877
Mon Jan  9 10:28:41 EST 2017, 1112, 0.500, 8, 0.420, 564, 99, 19, 19, 25, 76.107, 73.723
Mon Jan  9 10:28:45 EST 2017, 803, 0.040, 7, 0.330, 479, 74, 2, 8, 28, 4.297, 4.293
Mon Jan  9 10:29:10 EST 2017, 5753, 0.540, 2, 0.830, 329, 29, 11, 33, 73, 20.713, 22.080
Mon Jan  9 10:30:44 EST 2017, 8228, 0.290, 4, 0.080, 404, 96, 16, 20, 51, 93.237, 91.533
Mon Jan  9 10:32:14 EST 2017, 3278, 0.790, 9, 0.580, 554, 51, 6, 45, 96, 88.943, 88.840
Mon Jan  9 10:32:16 EST 2017, 4515, 0.410, 1, 0.450, 442, 40, 4, 26, 17, 1.920, 1.873
Mon Jan  9 10:33:17 EST 2017, 9465, 0.910, 6, 0.950, 592, 85, 13, 1, 62, 59.877, 60.327
Mon Jan  9 10:33:46 EST 2017, 6990, 0.160, 8, 0.200, 517, 17, 18, 39, 39, 28.640, 28.357
Mon Jan  9 10:34:23 EST 2017, 2040, 0.660, 3, 0.700, 367, 62, 9, 14, 84, 36.567, 35.853
Mon Jan  9 10:34:26 EST 2017, 1422, 0.350, 9, 0.890, 311, 57, 3, 42, 11, 3.040, 3.070
Mon Jan  9 10:34:35 EST 2017, 6372, 0.850, 5, 0.390, 461, 12, 12, 17, 56, 8.917, 9.027
Mon Jan  9 10:35:53 EST 2017, 8847, 0.100, 3, 0.640, 536, 79, 17, 30, 34, 77.457, 77.627
