# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 1 10', '--delay 1 10', '--selfEvents% 0 100', '--callIntervalMean 1 10', '--callDurationMean 1 10', '--maxChannels 10 100', '--simEndTime 300 600', '--rows 10 100', '--eventsPerAgent 1 20', '--granularity 0 50', '--cols 10 100', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jun 23 11:10:13 EDT 2017, 0.220, 2, 2, 0.550, 3, 8, 62, 302, 82, 1, 7, 26, 1.563, 1.673
Fri Jun 23 11:15:25 EDT 2017, 0.720, 6, 6, 0.050, 7, 4, 17, 452, 37, 11, 32, 71, 3.620, 3.933
Fri Jun 23 11:20:37 EDT 2017, 0.970, 4, 9, 0.800, 5, 6, 40, 377, 59, 16, 19, 94, 7.550, 11.337
Fri Jun 23 11:25:34 EDT 2017, 0.470, 8, 4, 0.300, 1, 2, 85, 527, 14, 6, 44, 49, 1.923, 1.733
Fri Jun 23 11:30:25 EDT 2017, 0.350, 3, 5, 0.670, 6, 3, 73, 489, 93, 18, 13, 60, 12.520, 8.823
Fri Jun 23 11:35:12 EDT 2017, 0.850, 7, 1, 0.170, 2, 7, 28, 339, 48, 9, 38, 15, 2.530, 2.647
Fri Jun 23 11:40:18 EDT 2017, 0.600, 1, 3, 0.920, 4, 5, 51, 564, 70, 4, 1, 37, 2.760, 2.930
Fri Jun 23 11:45:20 EDT 2017, 0.100, 5, 8, 0.420, 8, 9, 96, 414, 25, 13, 26, 82, 2.120, 2.253
Fri Jun 23 11:50:37 EDT 2017, 0.070, 1, 7, 0.330, 6, 7, 14, 349, 28, 9, 49, 23, 1.533, 1.543
Fri Jun 23 12:16:59 EDT 2017, 0.570, 5, 2, 0.830, 1, 2, 59, 499, 73, 19, 24, 68, 439.157, 16.263
Fri Jun 23 12:21:36 EDT 2017, 0.820, 3, 4, 0.080, 4, 9, 82, 424, 51, 14, 37, 91, 8.660, 12.467
Fri Jun 23 12:26:33 EDT 2017, 0.320, 8, 9, 0.580, 8, 5, 37, 574, 96, 4, 12, 46, 2.433, 2.423
Fri Jun 23 12:59:37 EDT 2017, 0.440, 4, 1, 0.450, 5, 4, 26, 461, 17, 12, 30, 57, 2.867, 3.590
Fri Jun 23 13:05:14 EDT 2017, 0.940, 9, 6, 0.950, 9, 8, 71, 311, 62, 2, 5, 12, 1.230, 1.227
Fri Jun 23 13:09:25 EDT 2017, 0.690, 2, 8, 0.200, 7, 1, 93, 536, 39, 7, 43, 35, 2.170, 2.123
Fri Jun 23 13:14:26 EDT 2017, 0.190, 6, 3, 0.700, 3, 6, 48, 386, 84, 16, 18, 80, 8.050, 8.730
Fri Jun 23 13:19:28 EDT 2017, 0.130, 4, 9, 0.890, 1, 5, 20, 555, 11, 8, 15, 96, 1.630, 1.730
Fri Jun 23 13:24:35 EDT 2017, 0.630, 8, 5, 0.390, 5, 1, 65, 405, 56, 18, 40, 51, 4.813, 5.243
Fri Jun 23 13:29:37 EDT 2017, 0.880, 1, 3, 0.640, 8, 7, 87, 480, 34, 13, 2, 29, 3.327, 3.760
Fri Jun 23 13:34:14 EDT 2017, 0.380, 6, 7, 0.140, 3, 3, 42, 330, 79, 3, 27, 74, 2.140, 2.120
Fri Jun 23 13:39:15 EDT 2017, 0.250, 3, 4, 0.770, 9, 4, 31, 443, 22, 10, 8, 40, 1.850, 1.840
Fri Jun 23 13:44:23 EDT 2017, 0.750, 7, 8, 0.270, 4, 9, 76, 593, 67, 1, 33, 85, 1.833, 1.847
Fri Jun 23 13:49:24 EDT 2017, 0.500, 5, 6, 0.520, 2, 2, 99, 368, 45, 6, 21, 63, 2.113, 2.147
Fri Jun 23 13:54:31 EDT 2017, 0.000, 9, 2, 0.020, 6, 6, 54, 518, 90, 15, 46, 18, 3.727, 3.827
Fri Jun 23 13:59:48 EDT 2017, 0.010, 1, 3, 0.580, 2, 9, 83, 469, 93, 17, 31, 51, 6.923, 9.140
Fri Jun 23 14:04:15 EDT 2017, 0.510, 5, 8, 0.080, 6, 5, 38, 319, 48, 7, 6, 96, 2.530, 2.733
Fri Jun 23 14:09:16 EDT 2017, 0.760, 3, 6, 0.830, 9, 7, 15, 544, 71, 3, 43, 74, 3.047, 3.147
Fri Jun 23 14:14:33 EDT 2017, 0.260, 7, 1, 0.330, 4, 3, 60, 394, 26, 12, 18, 29, 2.510, 2.630
Fri Jun 23 14:19:35 EDT 2017, 0.380, 4, 9, 0.710, 7, 2, 94, 357, 82, 5, 49, 85, 2.757, 2.810
