# 'Timestamp', '--imbalance% 0 100', '--moveIntervalMean 120 160', '--callIntervalMean 20 30', '--callDurationMean 2 10', '--maxChannels 8 30', '--simEndTime 300 600', '--portables 1 20', '--rows 10 50', '--granularity 0 30', '--cols 10 50', 2tLadderQ_timing_secs, ladderQ_timing_secs
Fri Jul  7 22:33:20 EDT 2017, 0.220, 122, 24, 4, 20, 584, 18, 19, 25, 36, 1.747, 1.840
Fri Jul  7 22:38:11 EDT 2017, 0.720, 142, 29, 8, 9, 434, 8, 39, 10, 16, 1.237, 1.237
Fri Jul  7 22:43:28 EDT 2017, 0.970, 132, 26, 2, 14, 509, 3, 29, 17, 26, 1.247, 1.250
Fri Jul  7 22:48:25 EDT 2017, 0.470, 152, 21, 6, 25, 359, 13, 49, 2, 46, 2.737, 3.003
Fri Jul  7 22:53:37 EDT 2017, 0.350, 137, 27, 5, 17, 322, 15, 34, 28, 21, 1.323, 1.237
Fri Jul  7 22:57:38 EDT 2017, 0.850, 157, 22, 9, 28, 472, 6, 14, 13, 41, 1.187, 1.223
Fri Jul  7 23:00:04 EDT 2017, 0.600, 127, 20, 3, 23, 397, 1, 44, 21, 31, 1.233, 1.203
Fri Jul  7 23:03:10 EDT 2017, 0.100, 147, 25, 7, 12, 547, 10, 24, 6, 11, 1.197, 1.237
Fri Jul  7 23:11:43 EDT 2017, 0.070, 129, 28, 6, 15, 481, 10, 12, 5, 42, 1.247, 1.223
Fri Jul  7 23:16:20 EDT 2017, 0.570, 149, 23, 2, 26, 331, 19, 32, 20, 22, 1.827, 1.820
Fri Jul  7 23:21:27 EDT 2017, 0.820, 139, 21, 8, 20, 556, 15, 22, 12, 12, 1.257, 1.223
Fri Jul  7 23:27:33 EDT 2017, 0.320, 159, 26, 4, 9, 406, 5, 42, 27, 32, 1.230, 1.287
Fri Jul  7 23:29:30 EDT 2017, 0.440, 134, 22, 7, 23, 443, 7, 37, 1, 17, 1.193, 1.277
Fri Jul  7 23:32:06 EDT 2017, 0.940, 154, 27, 3, 12, 593, 17, 17, 16, 37, 1.820, 2.143
Fri Jul  7 23:35:12 EDT 2017, 0.690, 124, 25, 9, 18, 368, 12, 47, 9, 47, 3.050, 3.133
